brand_code,brand_description
685,"Bacitracin-Polymyxin, Ophthalmic"
686,"Elocon"
687,"Carbocaine HCl"
688,"Elspar"
689,"Acetaminophen-Oxycodone Hydrochloride"
691,"Emcyt"
694,"Eminase"
695,"Bacitracin/HC/Neomycin/Polymyxin"
697,"Emla"
698,"Empirin with Codeine"
700,"Daranide"
703,"E-Mycin"
704,"Daraprim"
706,"Bacitracin Zinc/Neomycin SO4/Polymyxin B"
707,"Cardene"
709,"Baclofen"
711,"Gramicidin/Neomycin SO4/Polymyxin B SO4"
712,"Dextrose and Sodium Chloride"
713,"Hep-Pak"
715,"Bactocill"
716,"Gordons Urea"
717,"Bactrim"
718,"Darvon"
719,"Herplex"
720,"Bactroban"
721,"Hespan"
722,"Cardioquin"
723,"Endafed"
725,"Hetastarch-Sodium Chloride"
728,"Endrate"
729,"Balanced Salt Solution"
730,"Granulex"
731,"Cardizem"
732,"Darvon-N"
733,"BAL In Oil"
734,"Hexabrix"
735,"Enduron"
736,"Granumed"
739,"Cardura"
740,"Barium Sulfate"
741,"Hexachlorophene (obsolete)"
742,"Enduronyl"
746,"Barotrast"
747,"Carisoprodol"
748,"Prinivil"
749,"Delestrogen"
750,"Bar-Test"
751,"Grifulvin V"
753,"Prinzide"
754,"Grisactin"
755,"Hexadrol"
756,"Valergen"
757,"Verapamil Hydrochloride"
758,"Engerix-B"
759,"Hexalen"
761,"Enlon"
762,"Carmol HC (obsolete)"
765,"Hiprex"
766,"Priscoline Hydrochloride"
768,"Hismanal"
769,"Daypro"
770,"Pro-Banthine"
771,"Histalet"
772,"DDAVP"
773,"Entex (obsolete)"
774,"Carnitor"
775,"Histalet Forte"
776,"Decadron"
777,"Depo-Estradiol"
779,"Acetaminophen-Propoxyphene Hydrochloride"
780,"Entex PSE"
781,"Depogen"
785,"Verelan"
786,"Dep Gynogen"
787,"Histatrol"
788,"Beclovent"
789,"Vermox"
790,"Becomject-100"
791,"Versed"
792,"Procainamide Hydrochloride"
794,"Beconase"
795,"Vesprin"
796,"Buprenex"
797,"Histolyn-Cyl"
798,"Diatrizoate Meglumine"
799,"Acetaminophen-Propoxyphene Napsylate"
801,"Vexol"
802,"Belladonna-Phenobarbital"
804,"Vi-Daylin/F"
806,"Epidural Single Shot with Lidocaine"
810,"Hivid"
811,"Vi-Daylin/F ADC"
812,"Decadron Phosphate, Ophthalmic"
813,"HMS"
814,"AcetaZOLAMIDE"
816,"Homatropine Hydrobromide"
817,"Decadron Phosphate, Injectable"
818,"Vi-Daylin/F Plus Iron"
819,"Vibramycin"
821,"Decadron Phosphate, Topical"
822,"Acetic Acid"
823,"Homatropine Methylbromide-Hydrocodone"
826,"BuSpar"
828,"Epifoam"
831,"Deca-Durabolin"
832,"Epifrin"
833,"Vibra-Tabs"
835,"Vicodin"
836,"Decaspray"
837,"Humate-P (obsolete)"
838,"Acetic Acid-Hydrocortisone"
839,"Vicodin Tuss"
840,"Humatin"
843,"Declomycin"
844,"Humatrope"
846,"Vicon Forte"
849,"Epimide 50"
851,"Cataflam"
852,"Humibid DM(obsolete)"
853,"Catapres"
854,"Videx"
855,"Humorsol Ocumeter"
856,"VinBLAStine Sulfate"
857,"Dehydrocholic Acid"
860,"Caverject"
861,"Delatestryl"
862,"Ceclor"
866,"Epogen"
867,"Ceenu"
868,"Deltasone"
869,"Hycodan"
870,"Eppy/N"
871,"Cefaclor"
872,"Vincasar PFS"
873,"AcetoHEXAMIDE"
874,"Demadex"
875,"Hydrocortisone/Neomycin/Polymyxin B, Otic"
876,"Hycomine Compound"
878,"Equagesic"
879,"VinCRIStine Sulfate"
880,"Hycotuss Expectorant"
881,"Equanil"
885,"Hydeltra-T.B.A."
886,"Erex"
888,"Belladonna Alkaloids/Ergotamine/Phenobarbital"
889,"Hydeltrasol"
890,"Ergamisol"
892,"Hydergine"
893,"Acetylcysteine"
894,"Diazepam"
895,"Belladonna Alkaloids-Opium"
896,"HydrALAZINE Hydrochloride"
897,"Bellergal-S"
898,"Aci-Jel"
899,"Benadryl"
900,"Viokase"
901,"Hydrocortone"
902,"Aclovate"
904,"HydrALAZINE HCl-Hydrochlorothiazide"
907,"Ergostat"
909,"Vira-A"
910,"Virazole"
911,"Ranitidine Hydrochloride"
914,"Hydralazine HCl/Hydrochlorothiazide/Reserpine"
915,"Viridium"
916,"Cefadroxil Monohydate"
917,"Demerol HCl"
918,"Ergotrate Maleate"
919,"Hydrea"
920,"Rauzide"
921,"Methazolamide"
922,"Recombinate (obsolete)"
923,"Demi-Regroton"
924,"Hydrochlorothiazide"
925,"Eryc"
928,"Demser"
929,"Cefadyl"
930,"Erycette"
933,"Butibel"
936,"Erygel"
938,"Depakene"
939,"Acthar"
940,"EryPed"
941,"Methenamine Hippurate"
942,"Depakote"
943,"Recombivax HB"
944,"Depen"
945,"Methenamine Mandelate"
946,"Actifed with Codeine"
947,"Regitine"
948,"Cefazolin Sodium"
949,"Reglan"
950,"Viroptic"
952,"Actigall"
953,"Regonol"
954,"Viscoat"
956,"Regroton"
958,"Actimmune"
959,"Visken"
960,"Erythrocin Lactobionate"
962,"Depo-Medrol"
963,"Butisol Sodium"
964,"Relafen"
965,"Vistaril"
966,"Actinex"
967,"Methergine"
968,"Renacidin"
969,"Deponit"
970,"Activase"
973,"Renamin"
974,"Cefizox"
975,"Vitamin A"
976,"Acular"
977,"Renese"
978,"Depo-Provera Contraceptive"
981,"Acyclovir"
983,"Depo-Provera"
984,"Erythrocin Stearate Filmtab"
985,"Hydrocortone Acetate"
986,"Vitamin B Complex"
988,"Methocarbamol"
990,"Depo-Testadiol"
991,"Renese-R"
992,"Calan"
993,"Hydrochlorothiazide-Methyldopa"
994,"Depo-Testosterone"
996,"Adagen"
998,"Cefobid"
1000,"Adalat"
1002,"Renovist"
1003,"Adapin"
1005,"Dermacort"
1007,"Reopro"
1008,"Cefonicid Sodium"
1012,"Calcibind"
1013,"Reserpine"
1014,"Dermatop"
1016,"Dicloxacillin Sodium"
1018,"Calcidrine"
1020,"Adenocard"
1021,"Hydrocortone Phosphate"
1022,"Vitamin B Complex with Vitamin C"
1027,"Cefotan"
1033,"Methyclothiazide"
1035,"Methyldopa"
1036,"Methylene Blue"
1038,"Methylphenidate Hydrochloride"
1041,"MethylPREDNISolone"
1043,"Hydrochlorothiazide-Reserpine"
1047,"Ceftazidime"
1048,"MethylTESTOSTERone"
1052,"Cafergot"
1053,"Ceftin"
1054,"Meticorten"
1056,"Metimyd"
1057,"Desferal"
1061,"Hydrochlorothiazide-Triamterene"
1062,"Metoclopramide Hydrochloride"
1064,"Desipramine Hydrochloride"
1065,"Dicumarol"
1067,"Calciferol"
1069,"Desmopressin Acetate"
1070,"Calcijex"
1071,"Gynogen LA 20"
1072,"Adenoscan"
1073,"Metoprolol Tartrate"
1074,"Calcimar"
1075,"Desogen"
1081,"Metrodin"
1082,"MetroGel"
1083,"MetroGel-Vaginal"
1084,"Sodium Lactate"
1085,"Adenosine Phosphate"
1087,"Tobradex"
1089,"Isopto Atropine"
1090,"Tobramycin"
1093,"Desonide"
1094,"Adrenalin"
1096,"Vitamin B1"
1097,"Tobrex"
1098,"Sodium Nitroprusside"
1099,"Desowen"
1100,"Metubine Iodide"
1101,"Isopto Carbachol"
1103,"Desoximetasone"
1105,"Mevacor"
1107,"Isopto Carpine"
1108,"Mexiletine Hydrochloride"
1109,"Sodium Phosphate"
1110,"Adriamycin RDF"
1111,"Mexitil"
1112,"Desoxyn"
1113,"Hydrocodone-PPA"
1114,"Mezlin"
1115,"Tofranil"
1117,"Isopto Cetamide"
1119,"Tolazamide"
1120,"Respbid"
1124,"Miacalcin"
1125,"Sodium Polystyrene Sulfonate"
1128,"HydroDIURIL"
1129,"Isopto Cetapred"
1130,"Restoril"
1132,"Vitamin C"
1133,"Sodium Sulamyd"
1135,"Miconazole Nitrate"
1137,"Retin-A"
1138,"Tolinase"
1139,"Isopto Homatropine"
1140,"Desyrel"
1141,"Micrainin"
1142,"Retrovir"
1144,"MicRhoGAM"
1145,"Micro-K"
1146,"Tolmetin Sodium"
1147,"Reversol"
1149,"Micronase"
1150,"Revex"
1151,"Ortho Micronor"
1152,"Dexacidin"
1153,"Isopto Hyoscine"
1154,"Sodium Tetradecyl Sulfate"
1155,"Tolectin"
1156,"Rev-Eyes"
1157,"ReVia"
1158,"R-Gene 10"
1161,"Dexacort Phosphate in Respihaler"
1162,"Rheomacrodex"
1163,"Adsorbocarpine"
1164,"Hydrocodone-Pseudoephedrine HCl"
1165,"Sodium Thiosalicylate"
1167,"Rhinocort"
1169,"Tonocard"
1170,"Midamor"
1172,"Topicort"
1175,"Diethylpropion Hydrochloride"
1176,"Midrin"
1177,"Milontin"
1179,"RhoGAM"
1180,"Hydrocortisone 1% In Absorbase"
1181,"Topicycline"
1185,"Miltown"
1187,"Toprol-XL"
1189,"Ridaura"
1190,"Diethylstilbestrol"
1191,"Sodium Thiosulfate"
1193,"Je-Vax"
1194,"Toradol"
1195,"AMO Vitrax"
1196,"Mini-Gamulin Rh"
1197,"Rifadin"
1199,"Minipress"
1200,"Kabikinase"
1201,"Vivactil"
1202,"Torecan"
1203,"Minitran"
1204,"Rifamate"
1205,"Minizide"
1206,"Vivotif Berna"
1207,"Rifampin"
1208,"Minocin"
1209,"Tornalate"
1210,"Volmax"
1211,"Voltaren"
1212,"Dexamethasone, Ophthalmic"
1213,"Minocycline Hydrochloride"
1214,"Rifater"
1215,"Kantrex"
1218,"Rimactane"
1219,"Esgic-Plus"
1221,"Kaochlor"
1222,"Esidrix"
1224,"Kaon"
1225,"Touro A&H"
1226,"Esimil"
1227,"Vosol"
1231,"Vosol HC"
1232,"Touro EX"
1233,"Kaon-CI"
1234,"Dextrose 5% and Ringers"
1235,"Lorelco"
1236,"Eskalith"
1237,"Rimso-50"
1238,"Vumon"
1239,"Minoxidil, Topical"
1240,"Lortab"
1241,"Touro LA"
1243,"Ringers, Intravenous"
1244,"Karidium"
1245,"Mintezol"
1246,"Vynatal F.A."
1247,"Diflunisal"
1248,"Miochol-E"
1250,"Vytone"
1252,"Kay Ciel"
1253,"Miostat"
1254,"Esophotrast"
1255,"Miradon"
1256,"T-Phyl"
1258,"Warfarin Sodium"
1259,"Risperdal"
1261,"Solaquin Forte"
1264,"Kayexalate"
1265,"K-Dur"
1266,"Solatene"
1267,"Lotensin"
1268,"Ritalin"
1269,"Estinyl"
1270,"Mithracin"
1271,"Keflex"
1272,"TPN Electrolytes"
1273,"Solfoton"
1274,"Mitomycin"
1275,"Keflin"
1276,"Ritodrine Hydrochloride"
1279,"Lotensin HCT"
1280,"Keftab"
1281,"Robaxin"
1282,"Solganal"
1284,"Lotrimin"
1285,"Kefurox"
1287,"Westcort"
1288,"Robaxisal"
1289,"Lotrel"
1290,"Robinul"
1291,"Dexamethasone/Neomycin SO4/Polymyxin B SO4"
1292,"Wigraine"
1293,"Lotrisone"
1294,"Phentermine"
1295,"Robitussin-AC"
1297,"Kefzol"
1298,"Solu-Cortef"
1299,"WinRho SDF"
1301,"Winstrol"
1302,"Phenurone"
1303,"Kemadrin"
1304,"Lovenox"
1305,"Wyamine Sulfate Injection"
1306,"Robitussin-DAC"
1307,"Phenylephrine Hydrochloride"
1308,"Loxapine Succinate"
1309,"Kenalog"
1310,"Wycillin"
1311,"Rocaltrol"
1312,"Wydase"
1313,"Trac Tabs 2x"
1314,"Rocephin"
1315,"Kerlone"
1316,"Lupron"
1317,"Wygesic"
1319,"Luride"
1321,"Wytensin"
1322,"Phenylephrine HCl-Promethazine HCl"
1323,"Lutrepulse"
1325,"Solu-Medrol"
1326,"Luvox"
1327,"Xanax"
1328,"Xerac AC"
1329,"Soma"
1330,"Lymphazurin"
1331,"Tracelyte"
1333,"Roferon-A"
1335,"Rogaine"
1337,"Xylocaine HCl"
1338,"Romazicon"
1340,"Kinevac"
1341,"Tracrium"
1343,"Rondec Tablet(obsolete)"
1344,"Rowasa"
1345,"Klonopin"
1,"Phentermine Hydrochloride ER"
2,"Tranxene T-Tab"
3,"Albuminar-5"
4,"Buminate"
8,"Climara"
10,"Estraderm"
11,"Estrace"
16,"Calcium Chloride"
17,"Abbokinase"
18,"Calcium Gluceptate"
20,"Calcium Gluconate"
23,"Calcium Disodium Versenate"
24,"Anthralin"
25,"Accupril"
28,"Cordarone"
29,"Chromic Chloride"
30,"Cordran"
31,"Corgard"
32,"Cort-Dome High Potency"
35,"Cortef"
36,"Ansaid"
38,"Cortenema (obsolete)"
39,"Antabuse"
41,"Cefzil"
43,"Celestone"
44,"Fluorouracil, Systemic"
45,"Anthra-Derm"
46,"Cortifoam (obsolete)"
47,"Celestone Phosphate"
49,"Cortisporin"
51,"Cortone Acetate"
52,"Cortrosyn"
54,"Cosmegen"
55,"Fluothane"
56,"Cotazym"
58,"Accutane"
60,"Fluoxymesterone"
64,"Acebutolol Hydrochloride"
65,"Diprivan"
70,"Flurazepam Hydrochloride"
72,"Flurbiprofen"
73,"Chronulac"
75,"Flurbiprofen Sodium, Ophthalmic"
77,"Chymodiactin"
79,"Acel-Immune"
83,"Fluress"
84,"Corticotropin"
86,"Fluro-Ethyl(obsolete)"
88,"Flushield"
90,"Antilirium"
92,"Cortisone Acetate"
99,"Ciloxan"
100,"CellCept"
101,"Cimetidine"
102,"Fluvirin"
103,"Antipyrine-Benzocaine"
105,"Celontin"
106,"Cinobac"
109,"Cinoxacin"
110,"Cenolate"
112,"Cipro"
113,"Diprolene"
117,"Cephulac"
118,"Calcium Acetate"
119,"Ceptaz"
121,"Ceredase"
123,"Cerezyme"
128,"Probenecid"
129,"Diprosone"
130,"Cerubidine"
132,"Cerumenex"
133,"Benoquin"
136,"Cervidil"
139,"Antivenin (Latrodectus Mactans)"
141,"Cetacaine"
144,"Antivenin Polyvalent"
145,"Antivert"
146,"Coumadin"
147,"Anturane"
148,"Cozaar"
149,"Fluorescein Sodium(obsolete)"
150,"Anusol-HC"
152,"A.P.L."
153,"Bentyl"
154,"Crolom"
155,"Aplisol"
157,"Aplitest"
158,"Dicyclomine Hydrochloride"
159,"Cromolyn Sodium"
161,"Benzac"
164,"Disalcid"
165,"Citric Acid-Sodium Citrate"
166,"Apresazide"
167,"Apresoline"
169,"Benzoyl Peroxide"
174,"Cetacort"
175,"Aquachloral Supprettes"
176,"Cetamide"
177,"Aquamephyton"
179,"Claforan"
180,"Ditropan"
181,"Cetapred"
184,"Aquasol A"
185,"Benzamycin"
186,"Chardonna-2"
187,"Aquatensen"
189,"Chemet"
190,"Aralen Hydrochloride"
191,"Claritin"
192,"Claritin-D 24 Hour"
193,"Aralen Phosphate"
195,"Crystodigin"
196,"Aramine"
197,"Cheracol with Codeine"
198,"Cuprimine"
199,"Benzocaine"
201,"Arduan"
202,"Curretab"
203,"Chibroxin"
204,"Aredia"
205,"Cutivate"
206,"Arginine Hydrochloride"
208,"Aristocort"
209,"Acetaminophen/Butalbital/Caffeine"
211,"Aristocort A"
212,"Cyclandelate"
213,"Diucardin"
214,"Aristocort For Injection"
215,"Aristopak"
216,"Berocca"
217,"Cyclobenzaprine Hydrochloride"
218,"Aristospan Injection"
219,"Diuril"
222,"Cyclocort"
223,"Arm-A-Med Albuterol Sulfate"
224,"Clemastine Fumarate"
225,"Cyclogyl"
226,"Dextromethorphan-Promethazine"
227,"Chloromycetin Sodium Succinate"
229,"Cyclomydril"
230,"Cleocin T"
232,"Cleocin Vaginal"
233,"Arm-A-Med Isoetharine HCl"
234,"Armour Thyroid"
236,"Artane"
238,"Asacol"
240,"Asbron G"
241,"Asendin"
242,"Cyclopentolate Hydrochloride"
244,"Aspirin"
246,"Folic Acid/Vitamin B Complex/Vitamin C"
248,"Berocca Plus"
250,"Aspirin/Butalbital/Caffeine"
251,"Fluzone"
253,"Hydrocortisone Acetate-Neomycin Sulfate"
260,"FML-S Liquifilm"
262,"Folex PFS"
263,"Betagan"
264,"Folic Acid"
268,"Dolobid"
272,"Cyclospasmol"
273,"Clindamycin, Topical"
274,"Chlor-Trimeton"
276,"Levobunolol Hydrochloride, Ophthalmic"
278,"Aspirin/Caffeine/Propoxyphene Hydrochloride"
282,"Choledyl"
283,"Aspirin-Carisoprodol"
284,"Forane"
285,"Clinoril"
286,"Formaldehyde"
287,"PredniSONE"
288,"Forma-Ray"
290,"Betapace"
291,"Fortaz"
292,"Clioquinol-Hydrocortisone"
294,"Fosamax"
295,"Pregnyl"
299,"Prelone"
300,"Clobetasol Propionate"
301,"Cholografin Meglumine"
302,"Aspirin-Codeine Phosphate"
303,"Prelu-2"
304,"Betaseron"
305,"Domeboro Otic"
306,"Foscavir"
307,"Premarin"
308,"Choloxin"
311,"Donnatal"
313,"Dextrose and Potassium Chloride"
315,"Altace"
316,"Premarin with Methyltestosterone"
317,"Donnazyme"
318,"Premphase"
319,"Aspirin-Methocarbamol"
320,"Prempro"
322,"Cyklokapron"
323,"Cylert"
324,"Pre-Pen"
326,"Dopar"
327,"Prepidil"
330,"Prevacid"
331,"Cyproheptadine Hydrochloride"
332,"Dopram"
333,"Aspirin/Oxycodone HCl/Oxycodone Terephthalate"
334,"Freamine III"
335,"Prevident"
336,"Ambenyl"
338,"Dextrose/Potassium Chloride/Sodium Chloride"
341,"Bilopaque Sodium"
342,"Doral"
343,"Ambien"
344,"Cysto-Conray"
347,"Biltricide"
348,"Clofibrate"
349,"Cystografin"
350,"Amen"
352,"Atarax"
353,"Atenolol"
354,"Doryx"
356,"Clomid"
359,"Americaine"
360,"Cystospaz"
362,"ClomiPHENE Citrate"
363,"Prilosec"
364,"Bioclate (obsolete)"
365,"A-Methapred"
366,"Cytadren"
368,"Dovonex"
369,"Primacor I.V."
370,"FUDR"
371,"Amicar"
372,"Cytarabine"
373,"ClomiPRAMINE Hydrochloride"
374,"Amidate"
375,"Ful-Glo"
376,"Atenolol-Chlorthalidone"
377,"Clonazepam"
379,"Aminess"
380,"Primaplex"
381,"Clonidine"
383,"Funduscein(obsolete)"
386,"Primaquine Phosphate"
388,"Clorazepate Dipotassium"
389,"Primaxin"
390,"Primidone"
391,"Clorfed"
392,"Drexophed SR"
393,"Drisdol"
394,"Guaifenesin/Hydrocodone/PSE"
395,"Fungizone Intravenous"
396,"Aminosyn"
397,"Atracurium Besylate"
398,"Fungoid"
399,"Calderol"
400,"Clotrimazole, Topical"
401,"Drithocreme"
402,"Furacin"
403,"Atromid-S"
404,"Furadantin"
405,"Atropine Sulfate"
406,"Dritho-Scalp"
407,"Cloxacillin Sodium"
410,"Aminosyn II"
411,"Cantil"
415,"Atropine Sulfate, Ophthalmic"
416,"Furoxone"
417,"Capastat Sulfate"
419,"Drotic"
420,"Clozaril"
422,"Benemid"
423,"Cytogam"
424,"Coal Tar"
425,"Drysol"
428,"Capitrol"
429,"DTIC-Dome"
433,"Aminosyn II with Dextrose"
434,"Capoten"
435,"Guaifenesin-Phenylephrine Hydrochloride"
436,"DTP Vaccine"
437,"Cocaine Hydrochloride"
440,"Cytomel"
441,"Cytosar-U"
443,"Aminosyn II with Electrolytes"
445,"Cytotec"
447,"Cytovene"
448,"Duo-Medihaler"
449,"Guaifenesin/PE/PPA"
451,"Cytoxan"
454,"Duovisc"
455,"Captopril"
457,"Codeine Phosphate-Guaifenesin"
458,"Durabolin"
459,"Guaifenesin-Phenylpropanolamine HCl"
460,"Aminosyn with Electrolytes"
461,"Duragesic"
462,"Guaifenesin-Pseudoephedrine Hydrochloride SR"
463,"Gallium Nitrate"
1346,"Loxitane"
1347,"Roxicet"
1349,"Lozol"
1350,"Roxicodone"
1352,"Ludiomil"
1353,"K-Lor"
1355,"Klorvess"
1358,"AeroBid"
1359,"Lufyllin"
1360,"Trancopal"
1361,"Rubex"
1364,"Ryna-CX"
1365,"Trandate"
1366,"Phenytoin"
1367,"Rynatan (obsolete)"
1368,"Lufyllin-EPG"
1370,"Klorvess Effervescent"
1371,"Phisohex"
1372,"Aerolate III"
1373,"Rynatuss"
1374,"Dexamethasone-Neomycin"
1375,"Lufyllin-GG"
1376,"YF-Vax"
1377,"Rythmol"
1379,"Phos-Flur"
1383,"Yocon"
1384,"S-T Forte"
1385,"Klotrix"
1387,"Aeroseb-Dex"
1388,"S-T Forte 2"
1389,"Sorbitrate"
1390,"K-Lyte"
1391,"Yohimbine Hydrochloride"
1394,"Phospholine Iodide"
1395,"Lypholyte"
1396,"Salagen"
1397,"Aeroseb-HC"
1398,"Yohimex"
1399,"K-Lyte/Cl"
1400,"Phrenilin"
1401,"Salflex"
1402,"Yoman"
1403,"Transderm-Scop"
1405,"K-Norm"
1406,"Phyllocontin"
1407,"Yutopar"
1408,"Physiosol"
1412,"AHF-M (obsolete)"
1413,"Digoxin"
1415,"Physostigmine Salicylate"
1417,"Kogenate (obsolete)"
1418,"A-Hydrocort"
1419,"Salsalate"
1420,"Konakion"
1422,"Saluron"
1423,"Zanosar"
1425,"Physostigmine Sulfate"
1427,"Salutensin"
1430,"Albalon"
1431,"Zantac"
1432,"Sandimmune"
1433,"Phytonadione"
1434,"Zarontin"
1435,"Sandoglobulin"
1436,"Albamycin"
1437,"Pilagan with C Cap"
1438,"K-Phos Neutral"
1439,"Trasylol"
1440,"Zaroxolyn"
1442,"Pilocar"
1443,"Sandostatin"
1444,"Zebeta"
1445,"Sotradecol"
1447,"Sanorex"
1448,"Travase"
1449,"Lysodren"
1450,"Sansert"
1451,"Pilocarpine, Ophthalmic"
1452,"Macrobid"
1453,"Zefazone"
1454,"Sparine"
1455,"Santyl"
1457,"K-Phos Original"
1458,"Macrodantin"
1460,"Zemuron"
1462,"Spectazole"
1463,"Zenate"
1464,"Albumin, Normal Serum, Human"
1466,"K-Tab"
1468,"Zerit"
1469,"Magan"
1470,"Hydromorphone Hydrochloride"
1471,"Zestoretic"
1472,"Scopolamine"
1473,"Pilopine-HS"
1478,"Magnesium Chloride, Injectable"
1479,"Dexchlorpheniramine Maleate"
1480,"Zestril"
1482,"Pindolol"
1484,"Zetar"
1487,"Ziac"
1488,"Lac-Hydrin"
1491,"Sebizon"
1495,"Secobarbital Sodium"
1496,"Alcaine"
1497,"Lacrisert"
1500,"Zinacef"
1501,"Seconal Sodium"
1504,"Trazodone Hydrochloride"
1505,"Zinc Chloride"
1506,"Lamictal"
1507,"Hydroquinone"
1510,"Lamisil"
1512,"Zinc Sulfate"
1514,"Pipracil"
1516,"Trecator"
1517,"Zinecard"
1518,"Sectral"
1520,"Seldane"
1522,"Dexedrine"
1523,"Magnesium Sulfate, Injectable"
1524,"Spectrobid"
1525,"Seldane-D"
1526,"Trental"
1529,"Piroxicam"
1530,"Dexol"
1531,"Mandelamine"
1533,"Mandol"
1534,"Pitocin"
1535,"Pitressin"
1536,"Dexpanthenol"
1537,"Placidyl"
1539,"Manganese Chloride"
1540,"Alcohol, Dehydrated"
1541,"Zithromax"
1542,"Plaquenil Sulfate"
1544,"Manganese Sulfate"
1546,"Zocor"
1547,"Diltiazem Hydrochloride"
1548,"Zofran"
1549,"Mannitol, Injectable"
1550,"Zoladex"
1551,"Selegiline Hydrochloride"
1552,"Plasma Protein Fraction (Human)"
1553,"Aldactazide"
1554,"Zoloft"
1557,"Mannitol-Sorbitol"
1558,"Aldactone"
1559,"Plasma-Lyte"
1560,"Mantadil"
1561,"Dextran 40"
1562,"Selenious Acid"
1563,"Maolate"
1565,"Selenium Sulfide"
1567,"Maprotiline Hydrochloride"
1568,"DimenhyDRINATE"
1569,"Zonalon"
1570,"Selepen"
1571,"Selsun"
1572,"Zorprin"
1573,"Triaminic-DH Expectorant"
1574,"Marax"
1576,"Semprex-D"
1577,"Zosyn"
1578,"Platinol"
1579,"Zovirax"
1580,"Sensorcaine"
1583,"Plegine"
1584,"Marcaine HCl"
1586,"Zydone"
1587,"Spironolactone"
1588,"Septisol"
1589,"Marinol"
1590,"Zyloprim"
1591,"Septra"
1592,"Aldomet"
1593,"Zymase"
1594,"Ser-Ap-Es"
1598,"Serax"
