icd_9,disease_name,valid
"007.2     ","Isosporiasis","1"
"007.2     ","Isosporosis","1"
"007.3     ","Cercomoniasis","1"
"007.3     ","Intestinal infection by Trichomonas vaginalis","1"
"007.3     ","Intestinal trichomoniasis","1"
"007.3     ","Trichomoniasis, intestinal","1"
"007.4     ","Cryptosporidiosis","1"
"007.5     ","Cyclosporiasis","1"
"007.8     ","Chilomastigiasis","1"
"007.8     ","Craigiasis","1"
"007.8     ","Dientamebal diarrhea","1"
"007.8     ","Dientamoeba diarrhea","1"
"007.8     ","Dientamoebosis","1"
"007.8     ","Embadomoniasis","1"
"007.8     ","Entamebiasis coli","1"
"007.8     ","Entamoebosis coli","1"
"007.8     ","Infection by Chilomastix mesnili","1"
"007.8     ","Infection by Chilomastix NOS","1"
"007.8     ","Infection by Dientamoeba fragilis","1"
"007.8     ","Infection by Entamoeba coli","1"
"007.8     ","Infection by Retortamonas intestinalis","1"
"007.8     ","Intestinal diseases, protozoal, other, specified","1"
"007.8     ","Other protozoal intestinal disease NEC","1"
"007.8     ","Other specified protozoal intestinal diseases","1"
"007.8     ","Protozoal intestinal disease, NOS","1"
"007.8     ","Protozoal intestinal diseases, other, specified","1"
"007.8     ","Retortamoniasis","1"
"007.9     ","Diarrhea, flagellate","1"
"007.9     ","Dysentery, protozoal NOS","1"
"007.9     ","Flagellate diarrhea","1"
"007.9     ","Flagellate diarrhea NOS","1"
"007.9     ","Intestinal diseases, protozoal, unspecified","1"
"007.9     ","Protozoal diarrhea","1"
"007.9     ","Protozoal dysentery NOS","1"
"007.9     ","Protozoal intestinal disease NOS","1"
"007.9     ","Protozoal intestinal diseases, unspecified","1"
"007.9     ","Unspecified protozoal intestinal disease","1"
"008       ","Intestinal infection due to other organisms","0"
"008       ","Intestinal infections due to other organisms","0"
"008.0     ","Acute hemorrhagic colitis due to E. coli","0"
"008.0     ","E. coli enteritis NOS","0"
"008.0     ","Escherichia coli [E. coli] infection, unspecified","0"
"008.0     ","Escherichia coli enteritis NOS","0"
"008.0     ","Intestinal infection due to E. coli","0"
"008.0     ","Intestinal infection due to Escherichia coli [E. coli]","0"
"008.00    ","E. coli, unspecified","1"
"008.00    ","Escherichia coli [E. coli] intestinal infection, unspecified","1"
"008.00    ","Intestinal infection due to Escherichia coli [E. coli], unspecified","1"
"008.01    ","E. coli, enteropathogenic","1"
"008.01    ","Enteropathogenic E. coli","1"
"008.01    ","Escherichia coli, enteropathogenic","1"
"008.02    ","E. coli, enterotoxigenic","1"
"008.02    ","Enterotoxigenic E. coli","1"
"008.02    ","Escherichia coli, enterotoxigenic","1"
"008.03    ","E. coli, enteroinvasive","1"
"008.03    ","Enteroinvasive E. coli","1"
"008.03    ","Escherichia coli, enteroinvasive","1"
"008.04    ","E. coli, enterohemorrhagic","1"
"008.04    ","Enterohemorrhagic E. coli","1"
"008.04    ","Escherichia coli, enterohemorrhagic","1"
"008.09    ","E. coli, other intestinal infections","1"
"008.09    ","Escherichia coli, other intestinal infections","1"
"008.09    ","Intestinal infections due to other E. coli, other","1"
"008.09    ","Other intestinal E. coli infections","1"
"008.1     ","Arizona enteritis","1"
"008.1     ","Arizona group of paracolon bacilli","1"
"008.1     ","Intestinal infection due to Arizona group","1"
"008.1     ","Paracolon bacilli infection, Arizona group","1"
"008.2     ","Aerobacter aerogenes infection","1"
"008.2     ","Enterobacter aerogenes infection","1"
"008.2     ","Intestinal infection due to Enterobacter aerogenes","1"
"008.3     ","Intestinal infection due to Morganella morganii","1"
"008.3     ","Intestinal infection due to Proteus mirabilis","1"
"008.3     ","Proteus (mirabilis) (morganii) infection","1"
"008.4     ","Bacterial intestinal infection, other, specified","0"
"008.4     ","Intestinal infections, bacterial, other, specified","0"
"008.4     ","Other specified bacterial intestinal infections","0"
"008.41    ","Intestinal infection due to staphylococcus","1"
"008.41    ","Staphylococcal enterocolitis","1"
"008.41    ","Staphylococcal intestinal infection","1"
"008.42    ","Intestinal infection due to pseudomonas","1"
"008.42    ","Pseudomonal intestinal infection","1"
"008.43    ","Campylobacter intestinal infection","1"
"008.43    ","Intestinal infection due to campylobacter","1"
"008.44    ","Intestinal infection due to Yersinia enterocolitica","1"
"008.44    ","Yersinia enterocolitica intestinal infection","1"
"008.45    ","Clostridium difficile intestinal infection","1"
"008.45    ","Colitis, pseudomembranous","1"
"008.45    ","Intestinal infection due to Clostridium difficile","1"
"008.45    ","Pseudomembranous colitis","1"
"008.46    ","Anaerobic enteritis NOS","1"
"008.46    ","Anaerobic intestinal infection","1"
"008.46    ","Bacteroides (fragilis) intestinal infection","1"
"008.46    ","Intestinal infection due to Bacteroides (fragilis)","1"
"008.46    ","Intestinal infection due to other anaerobes","1"
"008.47    ","Bacterial (gram-negative) intestinal infection","1"
"008.47    ","Gram-negative bacterial intestinal infection","1"
"008.47    ","Intestinal infection due to other gram-negative bacteria","1"
"008.49    ","Intestinal infection due to other specified bacteria","1"
"008.49    ","Intestinal infections due to other organisms, specified","1"
"008.5     ","Bacterial enteritis NOS","1"
"008.5     ","Bacterial enteritis, unspecified","1"
"008.5     ","Enteritis, bacterial, unspecified","1"
"008.6     ","Enteritis due to specified virus","0"
"008.6     ","Neonatal infantile diarrhea","0"
"008.6     ","Nonbacterial gastroenteritis of infant","0"
"008.6     ","Viral enteritis (specified)","0"
"008.6     ","Viral gastroenteritis due to Norwalk-like agents","0"
"008.6     ","Viral gastroenteritis due to other viral agents","0"
"008.61    ","Enteritis due to Rotavirus","1"
"008.61    ","Rotaviral enteritis","1"
"008.62    ","Adenoviral enteritis","1"
"008.62    ","Enteritis, adenoviral","1"
"008.63    ","Enteritis due to Norwalk virus","1"
"008.63    ","Enteritis due to Norwalk-like agent","1"
"008.63    ","Norwalk virus enteritis","1"
"008.63    ","Norwalk-like agent enteritis","1"
"008.64    ","Enteritis due to small round viruses","1"
"008.64    ","Other small round viruses [SRVs]","1"
"008.64    ","Small round viral enteritis","1"
"008.64    ","SRV enteritis","1"
"008.65    ","Calciviral enteritis","1"
"008.65    ","Enteritis due to Calcivirus","1"
"008.66    ","Astroviral enteritis","1"
"008.66    ","Enteritis due to Astrovirus","1"
"008.67    ","Coxsackie virus intestinal infection","1"
"008.67    ","Echovirus intestinal infection","1"
"008.67    ","Enteritis, enteroviral NEC","1"
"008.67    ","Enteroviral enteritis NEC","1"
"008.67    ","Intestinal infection due to Coxsackie virus","1"
"008.67    ","Intestinal infection due to Echovirus","1"
"008.69    ","Enteritis, viral, other","1"
"008.69    ","Intestinal infection due to torovirus","1"
"008.69    ","Other viral enteritis","1"
"008.69    ","Torovirus intestinal infection","1"
"008.69    ","Viral enteritis, other","1"
"008.8     ","Acute infectious nonbacterial gastroenteritis","1"
"008.8     ","Enteritis due to other organisms NEC","1"
"008.8     ","Enteritis, viral NOS","1"
"008.8     ","Gastroenteritis, viral","1"
"008.8     ","Nonbacterial gastroenteritis","1"
"008.8     ","Viral enteritis NOS","1"
"008.8     ","Viral gastroenteritis","1"
"009       ","Ill-defined intestinal infection NOS","0"
"009       ","Ill-defined intestinal infections","0"
"009       ","Intestinal infections, ill-defined","0"
"009.0     ","Acute infective gastroenteritis NOS","1"
"009.0     ","Catarrhal dysentery","1"
"009.0     ","Colitis, septic","1"
"009.0     ","Dysentery NOS","1"
"009.0     ","Dysentery, catarrhal","1"
"009.0     ","Dysentery, hemorrhagic","1"
"009.0     ","Enteritis, septic","1"
"009.0     ","Flux","1"
"009.0     ","Gastroenteritis, septic","1"
"009.0     ","Hemorrhagic dysentery","1"
"009.0     ","Infectious colitis NOS","1"
"009.0     ","Infectious colitis, enteritis, and gastroenteritis","1"
"009.0     ","Infectious enteritis NOS","1"
"009.0     ","Infectious gastroenteritis NOS","1"
"009.0     ","Septic colitis","1"
"009.0     ","Septic colitis NOS","1"
"009.0     ","Septic enteritis","1"
"009.0     ","Septic enteritis NOS","1"
"009.0     ","Septic gastroenteritis","1"
"009.0     ","Septic gastroenteritis NOS","1"
"009.1     ","Colitis NOS","1"
"009.1     ","Colitis presumed infectious","1"
"009.1     ","Colitis, enteritis, and gastroenteritis of presumed infectious origin","1"
"009.1     ","Enteritis NOS","1"
"009.1     ","Enteritis presumed infectious","1"
"009.1     ","Gastroenteritis NOS","1"
"009.1     ","Gastroenteritis presumed infectious","1"
"009.2     ","Diarrhea, dysenteric","1"
"009.2     ","Diarrhea, epidemic","1"
"009.2     ","Diarrhea, infectious","1"
"009.2     ","Diarrheal disease, infectious","1"
"009.2     ","Dysenteric diarrhea","1"
"009.2     ","Epidemic diarrhea","1"
"009.2     ","Gay bowel syndrome","1"
"009.2     ","Infectious diarrhea","1"
"009.2     ","Infectious diarrheal disease NOS","1"
"009.2     ","Traveler's diarrhea","1"
"009.3     ","Diarrhea of presumed infectious origin","1"
"009.3     ","Diarrheal disease NOS","1"
"009.3     ","Infantile diarrhea","1"
"009.3     ","Summer diarrhea of infants","1"
"010       ","Primary tuberculous infection","0"
"010       ","TB, primary infection","0"
"010       ","Tuberculosis, primary infection","0"
"010.0     ","Ghon complex","0"
"010.0     ","Ghon tubercle","0"
"010.0     ","Ghon tubercle primary infection","0"
"010.0     ","Primary tuberculous complex","0"
"010.0     ","Ranke's primary infiltration","0"
"010.0     ","TB complex, primary","0"
"010.0     ","Tuberculosis complex, primary","0"
"010.00    ","Primary TB complex, confirmation unspecified","1"
"010.01    ","Primary TB complex, bacteriological/histological exam not done","1"
"010.02    ","Primary TB complex, bacteriological/histological exam unknown","1"
"010.03    ","Primary TB complex, diagnosed by microscopy","1"
"010.04    ","Primary TB complex, diagnosed by bacterial culture","1"
"010.05    ","Primary TB complex, diagnosed by histological exam","1"
"010.06    ","Primary TB complex, diagnosed by other methods","1"
"010.1     ","Pleurisy, tuberculous (in primary progressive tuberculosis)","0"
"010.1     ","Primary progressive tuberculosis with tuberculous pleurisy","0"
"010.1     ","TB, pleurisy in primary progressive TB","0"
"010.1     ","Tuberculosis, pleurisy in primary progressive tuberculosis","0"
"010.1     ","Tuberculous pleurisy in primary progressive tuberculosis","0"
"010.10    ","Primary TB pleurisy, confirmation unspecified","1"
"010.11    ","Primary TB pleurisy, bacteriological/histological exam not done","1"
"010.12    ","Primary TB pleurisy, bacteriological/histological exam unknown","1"
"010.13    ","Primary TB pleurisy, diagnosed by microscopy","1"
"010.14    ","Primary TB pleurisy, diagnosed by bacterial culture","1"
"010.15    ","Primary TB pleurisy, diagnosed by histological exam","1"
"010.16    ","Primary TB pleurisy, diagnosed by other methods","1"
"010.8     ","Epituberculosis","0"
"010.8     ","Other primary progressive tuberculosis","0"
"010.8     ","Primary progressive tuberculosis, other","0"
"010.8     ","TB, primary, progressive, other","0"
"010.8     ","Tuberculosis, primary, progressive, other","0"
"010.80    ","Primary progressive TB, other, confirmation unspecified","1"
"010.81    ","Primary progressive TB, other, bacteriological/histological exam not done","1"
"010.82    ","Primary progressive TB, other, bacteriological/histological exam unknown","1"
"010.83    ","Primary progressive TB, other, diagnosed by microscopy","1"
"010.84    ","Primary progressive TB, other, diagnosed by bacterial culture","1"
"010.85    ","Primary progressive TB, other, diagnosed by histological exam","1"
"010.86    ","Primary progressive TB, other, diagnosed by other methods","1"
"010.9     ","Infection due to Mycobacterium tuberculosis","0"
"010.9     ","Primary tuberculosis NOS","0"
"010.9     ","Primary tuberculous infection NOS","0"
"010.9     ","Primary tuberculous infection, unspecified","0"
"010.9     ","TB infection, primary, unspecified","0"
"010.9     ","Tuberculosis infection, primary, unspecified","0"
"010.9     ","Tuberculosis NOS","0"
"010.90    ","Primary TB, unspecified, confirmation unspecified","1"
"010.91    ","Primary TB, unspecified, bacteriological/histological exam not done","1"
"010.92    ","Primary TB, unspecified, bacteriological/histological exam unknown","1"
"010.93    ","Primary TB, unspecified, diagnosed by microscopy","1"
"010.94    ","Primary TB, unspecified, diagnosed by bacterial culture","1"
"010.95    ","Primary TB, unspecified, diagnosed by histological exam","1"
"010.96    ","Primary TB, unspecified, diagnosed by other methods","1"
"011       ","Pulmonary tuberculosis","0"
"011       ","TB of lung","0"
"011       ","Tuberculosis of lung","0"
"011.0     ","Assman's focus","0"
"011.0     ","Assmann's focus","0"
"011.0     ","Focus, Assmann's","0"
"011.0     ","Infiltrative tuberculosis of lung","0"
"011.0     ","Pulmonary tuberculosis, infiltrative","0"
"011.0     ","TB of lung, infiltrative","0"
"011.0     ","Tuberculosis of lung, infiltrative","0"
"011.00    ","TB of lung, infiltrative, confirmation unspecified","1"
"011.01    ","TB of lung, infiltrative, bacteriological/histological exam not done","1"
"011.02    ","TB of lung, infiltrative, bacteriological/histological exam unknown","1"
"011.03    ","TB of lung, infiltrative, diagnosed by microscopy","1"
"011.04    ","TB of lung, infiltrative, diagnosed by bacterial culture","1"
"011.05    ","TB of lung, infiltrative, diagnosed by histological exam","1"
"011.06    ","TB of lung, infiltrative, diagnosed by other methods","1"
"011.1     ","Nodular tuberculosis of lung","0"
"011.1     ","Pulmonary tuberculosis, nodular","0"
"011.1     ","TB of lung, nodular","0"
"011.1     ","Tuberculosis of lung, nodular","0"
"011.10    ","TB of lung, nodular, confirmation unspecified","1"
"011.11    ","TB of lung, nodular, bacteriological/histological exam not done","1"
"011.12    ","TB of lung, nodular, bacteriological/histological exam unknown","1"
"011.13    ","TB of lung, nodular, diagnosed by microscopy","1"
"011.14    ","TB of lung, nodular, diagnosed by bacterial culture","1"
"011.15    ","TB of lung, nodular, diagnosed by histological exam","1"
"011.16    ","TB of lung, nodular, diagnosed by other methods","1"
"011.2     ","Cavitation of lung","0"
"011.2     ","Pulmonary tuberculosis with cavitation","0"
"011.2     ","Rasmussen's aneurysm","0"
"011.2     ","TB of lung with cavitation","0"
"011.2     ","Tuberculosis of lung with cavitation","0"
"011.20    ","TB of lung with cavitation, confirmation unspecified","1"
"011.21    ","TB of lung with cavitation, bacteriological/histological exam not done","1"
"011.22    ","TB of lung with cavitation, bacteriological/histological exam unknown","1"
"011.23    ","TB of lung with cavitation, diagnosed by microscopy","1"
"011.24    ","TB of lung with cavitation, diagnosed by bacterial culture","1"
"011.25    ","TB of lung with cavitation, diagnosed by histological exam","1"
"011.26    ","TB of lung with cavitation diagnosed by other methods","1"
"011.3     ","Pulmonary tuberculosis (of bronchus)","0"
"011.3     ","TB of bronchus","0"
"011.3     ","Tuberculosis of bronchus","0"
"011.3     ","Tuberculosis of lung with involvement of bronchus","0"
"011.30    ","TB of bronchus, confirmation unspecified","1"
"011.31    ","TB of bronchus, bacteriological/histological exam not done","1"
"011.32    ","TB of bronchus, bacteriological/histological exam unknown","1"
"011.33    ","TB of bronchus, diagnosed by microscopy","1"
"011.34    ","TB of bronchus, diagnosed by bacterial culture","1"
"011.35    ","TB of bronchus, diagnosed by histological exam","1"
"011.36    ","TB of bronchus, diagnosed by other methods","1"
"011.4     ","Knifegrinders' rot","0"
"011.4     ","Koniophthisis","0"
"011.4     ","Pulmonary tuberculosis fibrosis","0"
"011.4     ","Silicotuberculosis","0"
"011.4     ","Tuberculous fibrosis of lung","0"
"011.40    ","Tuberculous fibrosis of lung, confirmation unspecified","1"
"011.41    ","Tuberculous fibrosis of lung, bacteriological/histological exam not done","1"
"011.42    ","Tuberculous fibrosis of lung, bacteriological/histological exam unknown","1"
"011.43    ","Tuberculous fibrosis of lung, diagnosed by microscopy","1"
"011.44    ","Tuberculous fibrosis of lung, diagnosed by bacterial culture","1"
"011.45    ","Tuberculous fibrosis of lung, diagnosed by histological exam","1"
"011.46    ","Tuberculous fibrosis of lung, diagnosed by other methods","1"
"011.5     ","Bronchiectasis, tuberculous","0"
"011.5     ","TB, bronchiectasis","0"
"011.5     ","Tuberculosis, bronchiectasis","0"
"011.5     ","Tuberculous bronchiectasis","0"
"011.50    ","Tuberculous bronchiectasis, confirmation unspecified","1"
"011.51    ","Tuberculous bronchiectasis, bacteriological/histological exam not done","1"
"011.52    ","Tuberculous bronchiectasis, bacteriological/histological exam unknown","1"
"011.53    ","Tuberculous bronchiectasis, diagnosed by microscopy","1"
"011.54    ","Tuberculous bronchiectasis, diagnosed by bacterial culture","1"
"011.55    ","Tuberculous bronchiectasis, diagnosed by histological exam","1"
"011.56    ","Tuberculous bronchiectasis, diagnosed by other methods","1"
"011.6     ","Pneumonia, tuberculous","0"
"011.6     ","TB, pneumonia","0"
"011.6     ","Tuberculosis, pneumonia","0"
"011.6     ","Tuberculous pneumonia","0"
"011.6     ","Tuberculous pneumonia [any form]","0"
"011.60    ","Tuberculous pneumonia, confirmation unspecified","1"
"011.61    ","Tuberculous pneumonia, bacteriological/histological exam not done","1"
"011.62    ","Tuberculous pneumonia, bacteriological/histological exam unknown","1"
"011.63    ","Tuberculous pneumonia, diagnosed by microscopy","1"
"011.64    ","Tuberculous pneumonia, diagnosed by bacterial culture","1"
"011.65    ","Tuberculous pneumonia, diagnosed by histological exam","1"
"011.66    ","Tuberculous pneumonia, diagnosed by other methods","1"
"011.7     ","Pneumothorax, tuberculous","0"
"011.7     ","TB, pneumothorax","0"
"011.7     ","Tuberculosis, pneumothorax","0"
"011.7     ","Tuberculous pneumothorax","0"
"011.70    ","Tuberculous pneumothorax, confirmation unspecified","1"
"011.71    ","Tuberculous pneumothorax, bacteriological/histological exam not done","1"
"011.72    ","Tuberculous pneumothorax, bacteriological/histological exam unknown","1"
"011.73    ","Tuberculous pneumothorax, diagnosed by microscopy","1"
"011.74    ","Tuberculous pneumothorax, diagnosed by bacterial culture","1"
"011.75    ","Tuberculous pneumothorax, diagnosed by histological exam","1"
"011.76    ","Tuberculous pneumothorax, diagnosed by other methods","1"
"011.8     ","Other specified pulmonary tuberculosis","0"
"011.8     ","Pulmonary tuberculosis, specified, other","0"
"011.8     ","TB, pulmonary, specified, other","0"
"011.8     ","Tuberculosis, pulmonary, specified, other","0"
"011.80    ","Pulmonary TB, other, confirmation unspecified","1"
"011.81    ","Pulmonary TB, other, bacteriological/histological exam not done","1"
"011.82    ","Pulmonary TB, other, bacteriological/histological exam unknown","1"
"011.83    ","Pulmonary TB, other, diagnosed by microscopy","1"
"011.84    ","Pulmonary TB, other, diagnosed by bacterial culture","1"
"011.85    ","Pulmonary TB, other, diagnosed by histological exam","1"
"011.86    ","Pulmonary TB, other, diagnosed by other methods","1"
"011.9     ","Phthisis","0"
"011.9     ","Pulmonary tuberculosis, unspecified","0"
"011.9     ","Respiratory tuberculosis","0"
"011.9     ","Respiratory tuberculosis NOS","0"
"011.9     ","TB of lung NOS","0"
"011.9     ","TB, pulmonary, unspecified","0"
"011.9     ","TB, respiratory NOS","0"
"011.9     ","Tuberculosis of lung NOS","0"
"011.9     ","Tuberculosis, pulmonary, unspecified","0"
"011.9     ","Tuberculosis, respiratory NOS","0"
"011.90    ","Pulmonary TB, unspecified, confirmation unspecified","1"
