hcfa_icd_9,hcfa_disease_name,hcfa_valid
"011.33","TB OF BRONCHUS-MICRO DX",65535
"011.34","TB OF BRONCHUS-CULT DX",65535
"011.35","TB OF BRONCHUS-HISTO DX",65535
"011.36","TB OF BRONCHUS-OTH TEST",65535
"011.4","TB FIBROSIS OF LUNG*",0
"011.40","TB LUNG FIBROSIS-UNSPEC",65535
"011.41","TB LUNG FIBROSIS-NO EXAM",65535
"011.42","TB LUNG FIBROS-EXAM UNKN",65535
"011.43","TB LUNG FIBROS-MICRO DX",65535
"011.44","TB LUNG FIBROSIS-CULT DX",65535
"011.45","TB LUNG FIBROS-HISTO DX",65535
"011.46","TB LUNG FIBROS-OTH TEST",65535
"011.5","TB BRONCHIECTASIS*",0
"011.50","TB BRONCHIECTASIS-UNSPEC",65535
"011.51","TB BRONCHIECT-NO EXAM",65535
"011.52","TB BRONCHIECT-EXAM UNKN",65535
"011.53","TB BRONCHIECT-MICRO DX",65535
"011.54","TB BRONCHIECT-CULT DX",65535
"011.55","TB BRONCHIECT-HISTO DX",65535
"011.56","TB BRONCHIECT-OTH TEST",65535
"011.6","TUBERCULOUS PNEUMONIA*",0
"011.60","TB PNEUMONIA-UNSPEC",65535
"011.61","TB PNEUMONIA-NO EXAM",65535
"011.62","TB PNEUMONIA-EXAM UNKN",65535
"011.63","TB PNEUMONIA-MICRO DX",65535
"011.64","TB PNEUMONIA-CULT DX",65535
"011.65","TB PNEUMONIA-HISTO DX",65535
"011.66","TB PNEUMONIA-OTH TEST",65535
"011.7","TUBERCULOUS PNEUMOTHORAX",0
"011.70","TB PNEUMOTHORAX-UNSPEC",65535
"011.71","TB PNEUMOTHORAX-NO EXAM",65535
"011.72","TB PNEUMOTHORX-EXAM UNKN",65535
"011.73","TB PNEUMOTHORAX-MICRO DX",65535
"011.74","TB PNEUMOTHORAX-CULT DX",65535
"011.75","TB PNEUMOTHORAX-HISTO DX",65535
"011.76","TB PNEUMOTHORAX-OTH TEST",65535
"011.8","PULMONARY TB NEC*",0
"011.80","PULMONARY TB NEC-UNSPEC",65535
"011.81","PULMONARY TB NEC-NO EXAM",65535
"011.82","PULMON TB NEC-EXAM UNKN",65535
"011.83","PULMON TB NEC-MICRO DX",65535
"011.84","PULMON TB NEC-CULT DX",65535
"011.85","PULMON TB NEC-HISTO DX",65535
"011.86","PULMON TB NEC-OTH TEST",65535
"011.9","PULMONARY TB NOS*",0
"011.90","PULMONARY TB NOS-UNSPEC",65535
"011.91","PULMONARY TB NOS-NO EXAM",65535
"011.92","PULMON TB NOS-EXAM UNKN",65535
"011.93","PULMON TB NOS-MICRO DX",65535
"011.94","PULMON TB NOS-CULT DX",65535
"011.95","PULMON TB NOS-HISTO DX",65535
"011.96","PULMON TB NOS-OTH TEST",65535
"012","OTHER RESPIRATORY TB*",0
"012.0","TUBERCULOUS PLEURISY*",0
"012.00","TB PLEURISY-UNSPEC",65535
"012.01","TB PLEURISY-NO EXAM",65535
"012.02","TB PLEURISY-EXAM UNKN",65535
"012.03","TB PLEURISY-MICRO DX",65535
"012.04","TB PLEURISY-CULT DX",65535
"012.05","TB PLEURISY-HISTOLOG DX",65535
"012.06","TB PLEURISY-OTH TEST",65535
"012.1","TB THORACIC LYMPH NODES*",0
"012.10","TB THORACIC NODES-UNSPEC",65535
"012.11","TB THORAX NODE-NO EXAM",65535
"012.12","TB THORAX NODE-EXAM UNKN",65535
"012.13","TB THORAX NODE-MICRO DX",65535
"012.14","TB THORAX NODE-CULT DX",65535
"012.15","TB THORAX NODE-HISTO DX",65535
"012.16","TB THORAX NODE-OTH TEST",65535
"012.2","ISOLATED TRACH/BRONCH TB",0
"012.20","ISOL TRACHEAL TB-UNSPEC",65535
"012.21","ISOL TRACHEAL TB-NO EXAM",65535
"012.22","ISOL TRACH TB-EXAM UNKN",65535
"012.23","ISOLAT TRACH TB-MICRO DX",65535
"012.24","ISOL TRACHEAL TB-CULT DX",65535
"012.25","ISOLAT TRACH TB-HISTO DX",65535
"012.26","ISOLAT TRACH TB-OTH TEST",65535
"012.3","TUBERCULOUS LARYNGITIS*",0
"012.30","TB LARYNGITIS-UNSPEC",65535
"012.31","TB LARYNGITIS-NO EXAM",65535
"012.32","TB LARYNGITIS-EXAM UNKN",65535
"012.33","TB LARYNGITIS-MICRO DX",65535
"012.34","TB LARYNGITIS-CULT DX",65535
"012.35","TB LARYNGITIS-HISTO DX",65535
"012.36","TB LARYNGITIS-OTH TEST",65535
"012.8","RESPIRATORY TB NEC*",0
"012.80","RESP TB NEC-UNSPEC",65535
"012.81","RESP TB NEC-NO EXAM",65535
"012.82","RESP TB NEC-EXAM UNKN",65535
"012.83","RESP TB NEC-MICRO DX",65535
"012.84","RESP TB NEC-CULT DX",65535
"012.85","RESP TB NEC-HISTO DX",65535
"012.86","RESP TB NEC-OTH TEST",65535
"013","CNS TUBERCULOSIS*",0
"013.0","TUBERCULOUS MENINGITIS*",0
"013.00","TB MENINGITIS-UNSPEC",65535
"013.01","TB MENINGITIS-NO EXAM",65535
"013.02","TB MENINGITIS-EXAM UNKN",65535
"013.03","TB MENINGITIS-MICRO DX",65535
"013.04","TB MENINGITIS-CULT DX",65535
"013.05","TB MENINGITIS-HISTO DX",65535
"013.06","TB MENINGITIS-OTH TEST",65535
"013.1","TUBERCULOMA OF MENINGES*",0
"013.10","TUBRCLMA MENINGES-UNSPEC",65535
"013.11","TUBRCLMA MENING-NO EXAM",65535
"013.12","TUBRCLMA MENIN-EXAM UNKN",65535
"013.13","TUBRCLMA MENING-MICRO DX",65535
"013.14","TUBRCLMA MENING-CULT DX",65535
"013.15","TUBRCLMA MENING-HISTO DX",65535
"013.16","TUBRCLMA MENING-OTH TEST",65535
"013.2","TUBERCULOMA OF BRAIN*",0
"013.20","TUBERCULOMA BRAIN-UNSPEC",65535
"013.21","TUBRCLOMA BRAIN-NO EXAM",65535
"013.22","TUBRCLMA BRAIN-EXAM UNKN",65535
"013.23","TUBRCLOMA BRAIN-MICRO DX",65535
"013.24","TUBRCLOMA BRAIN-CULT DX",65535
"013.25","TUBRCLOMA BRAIN-HISTO DX",65535
"013.26","TUBRCLOMA BRAIN-OTH TEST",65535
"013.3","TB ABSCESS OF BRAIN*",0
"013.30","TB BRAIN ABSCESS-UNSPEC",65535
"013.31","TB BRAIN ABSCESS-NO EXAM",65535
"013.32","TB BRAIN ABSC-EXAM UNKN",65535
"013.33","TB BRAIN ABSC-MICRO DX",65535
"013.34","TB BRAIN ABSCESS-CULT DX",65535
"013.35","TB BRAIN ABSC-HISTO DX",65535
"013.36","TB BRAIN ABSC-OTH TEST",65535
"013.4","TUBERCULOMA SPINAL CORD*",0
"013.40","TUBRCLMA SP CORD-UNSPEC",65535
"013.41","TUBRCLMA SP CORD-NO EXAM",65535
"013.42","TUBRCLMA SP CD-EXAM UNKN",65535
"013.43","TUBRCLMA SP CRD-MICRO DX",65535
"013.44","TUBRCLMA SP CORD-CULT DX",65535
"013.45","TUBRCLMA SP CRD-HISTO DX",65535
"013.46","TUBRCLMA SP CRD-OTH TEST",65535
"013.5","TB ABSCESS SPINAL CORD*",0
"013.50","TB SP CRD ABSCESS-UNSPEC",65535
"013.51","TB SP CRD ABSC-NO EXAM",65535
"013.52","TB SP CRD ABSC-EXAM UNKN",65535
"013.53","TB SP CRD ABSC-MICRO DX",65535
"013.54","TB SP CRD ABSC-CULT DX",65535
"013.55","TB SP CRD ABSC-HISTO DX",65535
"013.56","TB SP CRD ABSC-OTH TEST",65535
"013.6","TB ENCEPHALITIS/MYELITIS",0
"013.60","TB ENCEPHALITIS-UNSPEC",65535
"013.61","TB ENCEPHALITIS-NO EXAM",65535
"013.62","TB ENCEPHALIT-EXAM UNKN",65535
"013.63","TB ENCEPHALITIS-MICRO DX",65535
"013.64","TB ENCEPHALITIS-CULT DX",65535
"013.65","TB ENCEPHALITIS-HISTO DX",65535
"013.66","TB ENCEPHALITIS-OTH TEST",65535
"013.8","CNS TUBERCULOSIS NEC*",0
"013.80","CNS TB NEC-UNSPEC",65535
"013.81","CNS TB NEC-NO EXAM",65535
"013.82","CNS TB NEC-EXAM UNKN",65535
"013.83","CNS TB NEC-MICRO DX",65535
"013.84","CNS TB NEC-CULT DX",65535
"013.85","CNS TB NEC-HISTO DX",65535
"013.86","CNS TB NEC-OTH TEST",65535
"013.9","CNS TUBERCULOSIS NOS*",0
"013.90","CNS TB NOS-UNSPEC",65535
"013.91","CNS TB NOS-NO EXAM",65535
"013.92","CNS TB NOS-EXAM UNKN",65535
"013.93","CNS TB NOS-MICRO DX",65535
"013.94","CNS TB NOS-CULT DX",65535
"013.95","CNS TB NOS-HISTO DX",65535
"013.96","CNS TB NOS-OTH TEST",65535
"014","INTESTINAL TB*",0
"014.0","TUBERCULOUS PERITONITIS*",0
"014.00","TB PERITONITIS-UNSPEC",65535
"014.01","TB PERITONITIS-NO EXAM",65535
"014.02","TB PERITONITIS-EXAM UNKN",65535
"014.03","TB PERITONITIS-MICRO DX",65535
"014.04","TB PERITONITIS-CULT DX",65535
"014.05","TB PERITONITIS-HISTO DX",65535
"014.06","TB PERITONITIS-OTH TEST",65535
"014.8","INTESTINAL TB NEC*",0
"014.80","INTESTINAL TB NEC-UNSPEC",65535
"014.81","INTESTIN TB NEC-NO EXAM",65535
"014.82","INTEST TB NEC-EXAM UNKN",65535
"014.83","INTESTIN TB NEC-MICRO DX",65535
"014.84","INTESTIN TB NEC-CULT DX",65535
"014.85","INTESTIN TB NEC-HISTO DX",65535
"014.86","INTESTIN TB NEC-OTH TEST",65535
"015","TB OF BONE AND JOINT*",0
"015.0","TB OF VERTEBRAL COLUMN*",0
"015.00","TB OF VERTEBRA-UNSPEC",65535
"015.01","TB OF VERTEBRA-NO EXAM",65535
"015.02","TB OF VERTEBRA-EXAM UNKN",65535
"015.03","TB OF VERTEBRA-MICRO DX",65535
"015.04","TB OF VERTEBRA-CULT DX",65535
"015.05","TB OF VERTEBRA-HISTO DX",65535
"015.06","TB OF VERTEBRA-OTH TEST",65535
"015.1","TB OF HIP*",0
"015.10","TB OF HIP-UNSPEC",65535
"015.11","TB OF HIP-NO EXAM",65535
"015.12","TB OF HIP-EXAM UNKN",65535
"015.13","TB OF HIP-MICRO DX",65535
"015.14","TB OF HIP-CULT DX",65535
"015.15","TB OF HIP-HISTO DX",65535
"015.16","TB OF HIP-OTH TEST",65535
"015.2","TB OF KNEE*",0
"015.20","TB OF KNEE-UNSPEC",65535
"015.21","TB OF KNEE-NO EXAM",65535
"015.22","TB OF KNEE-EXAM UNKN",65535
"015.23","TB OF KNEE-MICRO DX",65535
"015.24","TB OF KNEE-CULT DX",65535
"015.25","TB OF KNEE-HISTO DX",65535
"015.26","TB OF KNEE-OTH TEST",65535
"015.5","TB OF LIMB BONES*",0
"015.50","TB OF LIMB BONES-UNSPEC",65535
"015.51","TB LIMB BONES-NO EXAM",65535
"015.52","TB LIMB BONES-EXAM UNKN",65535
"015.53","TB LIMB BONES-MICRO DX",65535
"015.54","TB LIMB BONES-CULT DX",65535
"015.55","TB LIMB BONES-HISTO DX",65535
"015.56","TB LIMB BONES-OTH TEST",65535
"015.6","TB OF MASTOID*",0
"015.60","TB OF MASTOID-UNSPEC",65535
"015.61","TB OF MASTOID-NO EXAM",65535
"015.62","TB OF MASTOID-EXAM UNKN",65535
"015.63","TB OF MASTOID-MICRO DX",65535
"015.64","TB OF MASTOID-CULT DX",65535
"015.65","TB OF MASTOID-HISTO DX",65535
"015.66","TB OF MASTOID-OTH TEST",65535
"015.7","TB OF BONE NEC*",0
"015.70","TB OF BONE NEC-UNSPEC",65535
"015.71","TB OF BONE NEC-NO EXAM",65535
"015.72","TB OF BONE NEC-EXAM UNKN",65535
"015.73","TB OF BONE NEC-MICRO DX",65535
"015.74","TB OF BONE NEC-CULT DX",65535
"015.75","TB OF BONE NEC-HISTO DX",65535
"015.76","TB OF BONE NEC-OTH TEST",65535
"015.8","TB OF JOINT NEC*",0
"015.80","TB OF JOINT NEC-UNSPEC",65535
"015.81","TB OF JOINT NEC-NO EXAM",65535
"015.82","TB JOINT NEC-EXAM UNKN",65535
"015.83","TB OF JOINT NEC-MICRO DX",65535
"015.84","TB OF JOINT NEC-CULT DX",65535
"015.85","TB OF JOINT NEC-HISTO DX",65535
"015.86","TB OF JOINT NEC-OTH TEST",65535
"015.9","TB OF BONE & JOINT NOS*",0
"015.90","TB BONE/JOINT NOS-UNSPEC",65535
"015.91","TB BONE/JT NOS-NO EXAM",65535
"015.92","TB BONE/JT NOS-EXAM UNKN",65535
"015.93","TB BONE/JT NOS-MICRO DX",65535
"015.94","TB BONE/JT NOS-CULT DX",65535
"015.95","TB BONE/JT NOS-HISTO DX",65535
"015.96","TB BONE/JT NOS-OTH TEST",65535
"016","GENITOURINARY TB*",0
"016.0","TB OF KIDNEY*",0
"016.00","TB OF KIDNEY-UNSPEC",65535
"016.01","TB OF KIDNEY-NO EXAM",65535
"016.02","TB OF KIDNEY-EXAM UNKN",65535
"016.03","TB OF KIDNEY-MICRO DX",65535
"016.04","TB OF KIDNEY-CULT DX",65535
"016.05","TB OF KIDNEY-HISTO DX",65535
"016.06","TB OF KIDNEY-OTH TEST",65535
"016.1","TB OF BLADDER*",0
"016.10","TB OF BLADDER-UNSPEC",65535
"016.11","TB OF BLADDER-NO EXAM",65535
"016.12","TB OF BLADDER-EXAM UNKN",65535
"016.13","TB OF BLADDER-MICRO DX",65535
"016.14","TB OF BLADDER-CULT DX",65535
"016.15","TB OF BLADDER-HISTO DX",65535
"016.16","TB OF BLADDER-OTH TEST",65535
"016.2","TB OF URETER*",0
"016.20","TB OF URETER-UNSPEC",65535
"016.21","TB OF URETER-NO EXAM",65535
"016.22","TB OF URETER-EXAM UNKN",65535
"016.23","TB OF URETER-MICRO DX",65535
"016.24","TB OF URETER-CULT DX",65535
"016.25","TB OF URETER-HISTO DX",65535
"016.26","TB OF URETER-OTH TEST",65535
"016.3","TB OF URINARY ORGAN NEC*",0
"016.30","TB URINARY NEC-UNSPEC",65535
"016.31","TB URINARY NEC-NO EXAM",65535
"016.32","TB URINARY NEC-EXAM UNKN",65535
"016.33","TB URINARY NEC-MICRO DX",65535
"016.34","TB URINARY NEC-CULT DX",65535
"016.35","TB URINARY NEC-HISTO DX",65535
"016.36","TB URINARY NEC-OTH TEST",65535
"016.4","TB OF EPIDIDYMIS*",0
"016.40","TB EPIDIDYMIS-UNSPEC",65535
"016.41","TB EPIDIDYMIS-NO EXAM",65535
"016.42","TB EPIDIDYMIS-EXAM UNKN",65535
"016.43","TB EPIDIDYMIS-MICRO DX",65535
"016.44","TB EPIDIDYMIS-CULT DX",65535
"016.45","TB EPIDIDYMIS-HISTO DX",65535
"016.46","TB EPIDIDYMIS-OTH TEST",65535
"016.5","TB MALE GENITAL ORG NEC*",0
"016.50","TB MALE GENIT NEC-UNSPEC",65535
"016.51","TB MALE GEN NEC-NO EXAM",65535
"016.52","TB MALE GEN NEC-EX UNKN",65535
"016.53","TB MALE GEN NEC-MICRO DX",65535
"016.54","TB MALE GEN NEC-CULT DX",65535
"016.55","TB MALE GEN NEC-HISTO DX",65535
"016.56","TB MALE GEN NEC-OTH TEST",65535
"016.6","TB OF OVARY AND TUBE*",0
"016.60","TB OVARY & TUBE-UNSPEC",65535
"016.61","TB OVARY & TUBE-NO EXAM",65535
"016.62","TB OVARY/TUBE-EXAM UNKN",65535
"016.63","TB OVARY & TUBE-MICRO DX",65535
"016.64","TB OVARY & TUBE-CULT DX",65535
"016.65","TB OVARY & TUBE-HISTO DX",65535
"016.66","TB OVARY & TUBE-OTH TEST",65535
"016.7","TB FEMALE GENIT ORG NEC*",0
"016.70","TB FEMALE GEN NEC-UNSPEC",65535
"016.71","TB FEM GEN NEC-NO EXAM",65535
"016.72","TB FEM GEN NEC-EXAM UNKN",65535
"016.73","TB FEM GEN NEC-MICRO DX",65535
"016.74","TB FEM GEN NEC-CULT DX",65535
"016.75","TB FEM GEN NEC-HISTO DX",65535
"016.76","TB FEM GEN NEC-OTH TEST",65535
"016.9","GENITOURINARY TB NOS*",0
"016.90","GU TB NOS-UNSPEC",65535
"016.91","GU TB NOS-NO EXAM",65535
"016.92","GU TB NOS-EXAM UNKN",65535
"016.93","GU TB NOS-MICRO DX",65535
"016.94","GU TB NOS-CULT DX",65535
"016.95","GU TB NOS-HISTO DX",65535
"016.96","GU TB NOS-OTH TEST",65535
"017","TUBERCULOSIS NEC*",0
"017.0","TB SKIN & SUBCUTANEOUS*",0
"017.00","TB SKIN/SUBCUTAN-UNSPEC",65535
"017.01","TB SKIN/SUBCUT-NO EXAM",65535
"017.02","TB SKIN/SUBCUT-EXAM UNKN",65535
"017.03","TB SKIN/SUBCUT-MICRO DX",65535
"017.04","TB SKIN/SUBCUT-CULT DX",65535
"017.05","TB SKIN/SUBCUT-HISTO DX",65535
"017.06","TB SKIN/SUBCUT-OTH TEST",65535
"017.1","ERYTHEMA NODOSUM IN TB*",0
"017.10","ERYTHEMA NODOS TB-UNSPEC",65535
"017.11","ERYTHEM NODOS TB-NO EXAM",65535
"017.12","ERYTHEM NOD TB-EXAM UNKN",65535
"017.13","ERYTHEM NOD TB-MICRO DX",65535
"017.14","ERYTHEM NODOS TB-CULT DX",65535
"017.15","ERYTHEM NOD TB-HISTO DX",65535
"017.16","ERYTHEM NOD TB-OTH TEST",65535
"017.2","TB OF PERIPH LYMPH NODE*",0
"017.20","TB PERIPH LYMPH-UNSPEC",65535
"017.21","TB PERIPH LYMPH-NO EXAM",65535
"017.22","TB PERIPH LYMPH-EXAM UNK",65535
"017.23","TB PERIPH LYMPH-MICRO DX",65535
"017.24","TB PERIPH LYMPH-CULT DX",65535
"017.25","TB PERIPH LYMPH-HISTO DX",65535
"017.26","TB PERIPH LYMPH-OTH TEST",65535
"017.3","TB OF EYE*",0
"017.30","TB OF EYE-UNSPEC",65535
"017.31","TB OF EYE-NO EXAM",65535
"017.32","TB OF EYE-EXAM UNKN",65535
"017.33","TB OF EYE-MICRO DX",65535
"017.34","TB OF EYE-CULT DX",65535
"017.35","TB OF EYE-HISTO DX",65535
"017.36","TB OF EYE-OTH TEST",65535
"017.4","TB OF EAR*",0
"017.40","TB OF EAR-UNSPEC",65535
"017.41","TB OF EAR-NO EXAM",65535
"017.42","TB OF EAR-EXAM UNKN",65535
"017.43","TB OF EAR-MICRO DX",65535
"017.44","TB OF EAR-CULT DX",65535
"017.45","TB OF EAR-HISTO DX",65535
"017.46","TB OF EAR-OTH TEST",65535
"017.5","TB OF THYROID GLAND*",0
"017.50","TB OF THYROID-UNSPEC",65535
"017.51","TB OF THYROID-NO EXAM",65535
"017.52","TB OF THYROID-EXAM UNKN",65535
"017.53","TB OF THYROID-MICRO DX",65535
"017.54","TB OF THYROID-CULT DX",65535
"017.55","TB OF THYROID-HISTO DX",65535
"017.56","TB OF THYROID-OTH TEST",65535
"017.6","TB OF ADRENAL GLAND*",0
"017.60","TB OF ADRENAL-UNSPEC",65535
"017.61","TB OF ADRENAL-NO EXAM",65535
"017.62","TB OF ADRENAL-EXAM UNKN",65535
"017.63","TB OF ADRENAL-MICRO DX",65535
"017.64","TB OF ADRENAL-CULT DX",65535
"017.65","TB OF ADRENAL-HISTO DX",65535
"017.66","TB OF ADRENAL-OTH TEST",65535
"017.7","TB OF SPLEEN*",0
"017.70","TB OF SPLEEN-UNSPEC",65535
"017.71","TB OF SPLEEN-NO EXAM",65535
"017.72","TB OF SPLEEN-EXAM UNKN",65535
"017.73","TB OF SPLEEN-MICRO DX",65535
"017.74","TB OF SPLEEN-CULT DX",65535
"017.75","TB OF SPLEEN-HISTO DX",65535
"017.76","TB OF SPLEEN-OTH TEST",65535
"017.8","TB OF ESOPHAGUS*",0
"017.80","TB ESOPHAGUS-UNSPEC",65535
"017.81","TB ESOPHAGUS-NO EXAM",65535
"017.82","TB ESOPHAGUS-EXAM UNKN",65535
