1030-6,F little y super little b Ab,ACnc,Pt,Ser/Plas,Ord,,,,Fy sup(b) Ab SerPl Ql,
10306-9,Vendor serial number,ID,Pt,Nasogastric tube,Nom,,,,,
10307-7,Vendor serial number,ID,Pt,Oral tube,Nom,,,,,
10308-5,Vendor serial number,ID,Pt,Peritoneal drain,Nom,,,,,
10309-3,Vendor serial number,ID,Pt,Peritoneal tube,Nom,,,,,
10310-1,Vendor serial number,ID,Pt,Rate control device,Nom,,,,,
10311-9,Vendor serial number,ID,Pt,Stool collection device,Nom,,,,,
10707-8,Plant.toxic identified,Prid,Pt,^Plant specimen,Nom,Inspection,,,Toxic Plant Spec Inspect,
10708-6,Plant.toxic identified,Prid,Pt,Vomitus,Nom,Microscopy.light,,,Toxic Plant Vom Micro,
10709-4,Plasmodium falciparum Ag,ACnc,Pt,Bld,Qn,IF,,,P falciparum Ag Bld IF-aCnc,
1071-0,J little k super little a Ag,ACnc,Pt,RBC^donor,Ord,,,,Jk sup(a) Ag RBC Donr Ql,
10710-2,Plasmodium sp identified,Prid,Pt,Bld,Nom,Thin film,,,Plasmodium Bld Thin Film,
10711-0,Plasmodium vivax Ag,ACnc,Pt,Bld,Qn,IF,,,P vivax Ag Bld IF-aCnc,
10712-8,Pneumocystis sp identified,Prid,Pt,Tlng,Nom,,,,Pneumocystis Lung tiss,
10713-6,Protheca identified,Prid,Pt,XXX,Nom,Culture,,,Protheca XXX Cult,
10950-4,Reindeer epithelium Ab.IgE,ACnc,Pt,Ser,Qn,,,,Reindeer Epith IgE Qn,
10951-2,Sericin Ab.IgE,ACnc,Pt,Ser,Qn,,,,Sericin IgE Qn,
10952-0,Swine urine proteins Ab.IgE,ACnc,Pt,Ser,Qn,,,,Swine Urine Prot IgE Qn,
10953-8,Phleum pratense Ab.IgG,ACnc,Pt,Ser,Qn,,,,Timothy IgG Qn,
10954-6,Pinus edulis Ab.IgE,ACnc,Pt,Ser,Qn,,,,Pine Nut IgE Qn,
10955-3,Pinus palustris Ab.IgE,ACnc,Pt,Ser,Qn,,,,Long Leaf Pine IgE Qn,
10956-1,Pinus echinata Ab.IgE,ACnc,Pt,Ser,Qn,,,,Short Leaf Pine IgE Qn,
11024-7,Benzodiazepines,MCnc,Pt,Ser/Plas,Qn,,,,Benzodiaz SerPl-mCnc,
10000-8,R wave duration.lead AVR,Time,Pt,Heart,Qn,EKG,,,,
10001-6,R wave duration.lead I,Time,Pt,Heart,Qn,EKG,,,,
10002-4,R wave duration.lead II,Time,Pt,Heart,Qn,EKG,,,,
10003-2,R wave duration.lead III,Time,Pt,Heart,Qn,EKG,,,,
10004-0,R wave duration.lead V1,Time,Pt,Heart,Qn,EKG,,,,
10005-7,R wave duration.lead V2,Time,Pt,Heart,Qn,EKG,,,,
10006-5,R wave duration.lead V3,Time,Pt,Heart,Qn,EKG,,,,
10007-3,R wave duration.lead V4,Time,Pt,Heart,Qn,EKG,,,,
10008-1,R wave duration.lead V5,Time,Pt,Heart,Qn,EKG,,,,
1000-9,DBG Ab,ACnc,Pt,Ser/Plas^BPU,Ord,,,,DBG Ab SerPl BPU Ql,
10009-9,R wave duration.lead V6,Time,Pt,Heart,Qn,EKG,,,,
10010-7,R' wave amplitude.lead AVF,Elpot,Pt,Heart,Qn,EKG,,,,
10011-5,R' wave amplitude.lead AVL,Elpot,Pt,Heart,Qn,EKG,,,,
10012-3,R' wave amplitude.lead AVR,Elpot,Pt,Heart,Qn,EKG,,,,
10013-1,R' wave amplitude.lead I,Elpot,Pt,Heart,Qn,EKG,,,,
10014-9,R' wave amplitude.lead II,Elpot,Pt,Heart,Qn,EKG,,,,
10015-6,R' wave amplitude.lead III,Elpot,Pt,Heart,Qn,EKG,,,,
10016-4,R' wave amplitude.lead V1,Elpot,Pt,Heart,Qn,EKG,,,,
1001-7,DBG Ab,ACnc,Pt,Ser/Plas^donor,Ord,,,,DBG Ab SerPl Donr Ql,
10017-2,R' wave amplitude.lead V2,Elpot,Pt,Heart,Qn,EKG,,,,
10018-0,R' wave amplitude.lead V3,Elpot,Pt,Heart,Qn,EKG,,,,
10019-8,R' wave amplitude.lead V4,Elpot,Pt,Heart,Qn,EKG,,,,
10020-6,R' wave amplitude.lead V5,Elpot,Pt,Heart,Qn,EKG,,,,
10021-4,R' wave amplitude.lead V6,Elpot,Pt,Heart,Qn,EKG,,,,
10022-2,R' wave duration.lead AVF,Time,Pt,Heart,Qn,EKG,,,,
10023-0,R' wave duration.lead AVL,Time,Pt,Heart,Qn,EKG,,,,
10024-8,R' wave duration.lead AVR,Time,Pt,Heart,Qn,EKG,,,,
1002-5,DBG Ab,ACnc,Pt,Ser/Plas,Ord,,,,DBG Ab SerPl Ql,
10025-5,R' wave duration.lead I,Time,Pt,Heart,Qn,EKG,,,,
10026-3,R' wave duration.lead II,Time,Pt,Heart,Qn,EKG,,,,
10027-1,R' wave duration.lead III,Time,Pt,Heart,Qn,EKG,,,,
10028-9,R' wave duration.lead V1,Time,Pt,Heart,Qn,EKG,,,,
10029-7,R' wave duration.lead V2,Time,Pt,Heart,Qn,EKG,,,,
10030-5,R' wave duration.lead V3,Time,Pt,Heart,Qn,EKG,,,,
10031-3,R' wave duration.lead V4,Time,Pt,Heart,Qn,EKG,,,,
10032-1,R' wave duration.lead V5,Time,Pt,Heart,Qn,EKG,,,,
1003-3,Indirect antiglobulin test.complement specific reagent,ACnc,Pt,Ser/Plas,Ord,,,,IAT Comp-Sp Reag SerPl Ql,
10033-9,R' wave duration.lead V6,Time,Pt,Heart,Qn,EKG,,,,
10034-7,S wave amplitude.lead AVF,Elpot,Pt,Heart,Qn,EKG,,,,
10035-4,S wave amplitude.lead AVL,Elpot,Pt,Heart,Qn,EKG,,,,
10036-2,S wave amplitude.lead AVR,Elpot,Pt,Heart,Qn,EKG,,,,
10037-0,S wave amplitude.lead I,Elpot,Pt,Heart,Qn,EKG,,,,
10038-8,S wave amplitude.lead II,Elpot,Pt,Heart,Qn,EKG,,,,
10039-6,S wave amplitude.lead III,Elpot,Pt,Heart,Qn,EKG,,,,
10040-4,S wave amplitude.lead V1,Elpot,Pt,Heart,Qn,EKG,,,,
1004-1,Direct antiglobulin test.complement specific reagent,ACnc,Pt,RBC,Ord,,,,DAT Comp-Sp Reag RBC Ql,
10041-2,S wave amplitude.lead V2,Elpot,Pt,Heart,Qn,EKG,,,,
10042-0,S wave amplitude.lead V3,Elpot,Pt,Heart,Qn,EKG,,,,
10043-8,S wave amplitude.lead V4,Elpot,Pt,Heart,Qn,EKG,,,,
10044-6,S wave amplitude.lead V5,Elpot,Pt,Heart,Qn,EKG,,,,
10045-3,S wave amplitude.lead V6,Elpot,Pt,Heart,Qn,EKG,,,,
10046-1,S wave duration.lead AVF,Time,Pt,Heart,Qn,EKG,,,,
10047-9,S wave duration.lead AVL,Time,Pt,Heart,Qn,EKG,,,,
10048-7,S wave duration.lead AVR,Time,Pt,Heart,Qn,EKG,,,,
10049-5,S wave duration.lead I,Time,Pt,Heart,Qn,EKG,,,,
10050-3,S wave duration.lead II,Time,Pt,Heart,Qn,EKG,,,,
10051-1,S wave duration.lead III,Time,Pt,Heart,Qn,EKG,,,,
10052-9,S wave duration.lead V1,Time,Pt,Heart,Qn,EKG,,,,
10053-7,S wave duration.lead V2,Time,Pt,Heart,Qn,EKG,,,,
10054-5,S wave duration.lead V3,Time,Pt,Heart,Qn,EKG,,,,
10055-2,S wave duration.lead V4,Time,Pt,Heart,Qn,EKG,,,,
10056-0,S wave duration.lead V5,Time,Pt,Heart,Qn,EKG,,,,
10057-8,S wave duration.lead V6,Time,Pt,Heart,Qn,EKG,,,,
1005-8,Indirect antiglobulin test.IgG specific reagent,ACnc,Pt,Ser/Plas,Ord,,,,IAT IgG-Sp Reag SerPl Ql,
10058-6,S' wave amplitude.lead AVF,Elpot,Pt,Heart,Qn,EKG,,,,
10059-4,S' wave amplitude.lead AVL,Elpot,Pt,Heart,Qn,EKG,,,,
10060-2,S' wave amplitude.lead AVR,Elpot,Pt,Heart,Qn,EKG,,,,
10061-0,S' wave amplitude.lead I,Elpot,Pt,Heart,Qn,EKG,,,,
10062-8,S' wave amplitude.lead II,Elpot,Pt,Heart,Qn,EKG,,,,
10063-6,S' wave amplitude.lead III,Elpot,Pt,Heart,Qn,EKG,,,,
10064-4,S' wave amplitude.lead V1,Elpot,Pt,Heart,Qn,EKG,,,,
10065-1,S' wave amplitude.lead V2,Elpot,Pt,Heart,Qn,EKG,,,,
1006-6,Direct antiglobulin test.IgG specific reagent,Imp,Pt,RBC,Nom,,,,DAT IgG-Sp Reag RBC-Imp,
10066-9,S' wave amplitude.lead V3,Elpot,Pt,Heart,Qn,EKG,,,,
10067-7,S' wave amplitude.lead V4,Elpot,Pt,Heart,Qn,EKG,,,,
10068-5,S' wave amplitude.lead V5,Elpot,Pt,Heart,Qn,EKG,,,,
10069-3,S' wave amplitude.lead V6,Elpot,Pt,Heart,Qn,EKG,,,,
10070-1,S' wave duration.lead AVF,Time,Pt,Heart,Qn,EKG,,,,
10071-9,S' wave duration.lead AVL,Time,Pt,Heart,Qn,EKG,,,,
10072-7,S' wave duration.lead AVR,Time,Pt,Heart,Qn,EKG,,,,
10073-5,S' wave duration.lead I,Time,Pt,Heart,Qn,EKG,,,,
1007-4,Direct antiglobulin test.poly specific reagent,ACnc,Pt,RBC,Ord,,,,DAT Poly-Sp Reag RBC Ql,
10074-3,S' wave duration.lead II,Time,Pt,Heart,Qn,EKG,,,,
10075-0,S' wave duration.lead III,Time,Pt,Heart,Qn,EKG,,,,
10076-8,S' wave duration.lead V1,Time,Pt,Heart,Qn,EKG,,,,
10077-6,S' wave duration.lead V2,Time,Pt,Heart,Qn,EKG,,,,
10078-4,S' wave duration.lead V3,Time,Pt,Heart,Qn,EKG,,,,
10079-2,S' wave duration.lead V4,Time,Pt,Heart,Qn,EKG,,,,
100-8,Cefoperazone,Susc,Pt,Isolate,OrdQn,MIC,,,Cefoperazone Islt MIC,
10080-0,S' wave duration.lead V5,Time,Pt,Heart,Qn,EKG,,,,
10081-8,S' wave duration.lead V6,Time,Pt,Heart,Qn,EKG,,,,
1008-2,Indirect antiglobulin test.poly specific reagent,ACnc,Pt,Ser/Plas,Ord,,,,IAT Poly-Sp Reag SerPl Ql,
10082-6,ST initial amplitude 6 ms.lead AVF,Elpot,Pt,Heart,Qn,EKG,,,,
10083-4,ST initial amplitude 6 ms.lead AVL,Elpot,Pt,Heart,Qn,EKG,,,,
10084-2,ST initial amplitude 6 ms.lead AVR,Elpot,Pt,Heart,Qn,EKG,,,,
10085-9,ST initial amplitude 6 ms.lead I,Elpot,Pt,Heart,Qn,EKG,,,,
10086-7,ST initial amplitude 6 ms.lead II,Elpot,Pt,Heart,Qn,EKG,,,,
10087-5,ST initial amplitude 6 ms.lead III,Elpot,Pt,Heart,Qn,EKG,,,,
10088-3,ST initial amplitude 6 ms.lead V1,Elpot,Pt,Heart,Qn,EKG,,,,
10089-1,ST initial amplitude 6 ms.lead V2,Elpot,Pt,Heart,Qn,EKG,,,,
1009-0,Direct antiglobulin test.poly specific reagent,ACnc,Pt,RBC,Ord,,,DEL,Deprecated DAT Poly-Sp Reag RBC Ql,
10090-9,ST initial amplitude 6 ms.lead V3,Elpot,Pt,Heart,Qn,EKG,,,,
10091-7,ST initial amplitude 6 ms.lead V4,Elpot,Pt,Heart,Qn,EKG,,,,
10092-5,ST initial amplitude 6 ms.lead V5,Elpot,Pt,Heart,Qn,EKG,,,,
10093-3,ST initial amplitude 6 ms.lead V6,Elpot,Pt,Heart,Qn,EKG,,,,
10094-1,ST slope.lead AVF,ElpotRat,Pt,Heart,Qn,EKG,,,,
10095-8,ST slope.lead AVL,ElpotRat,Pt,Heart,Qn,EKG,,,,
10096-6,ST slope.lead AVR,ElpotRat,Pt,Heart,Qn,EKG,,,,
10097-4,ST slope.lead I,ElpotRat,Pt,Heart,Qn,EKG,,,,
10098-2,ST slope.lead II,ElpotRat,Pt,Heart,Qn,EKG,,,,
10099-0,ST slope.lead III,ElpotRat,Pt,Heart,Qn,EKG,,,,
10100-6,ST slope.lead V1,ElpotRat,Pt,Heart,Qn,EKG,,,,
10101-4,ST slope.lead V2,ElpotRat,Pt,Heart,Qn,EKG,,,,
10102-2,ST slope.lead V3,ElpotRat,Pt,Heart,Qn,EKG,,,,
10103-0,ST slope.lead V4,ElpotRat,Pt,Heart,Qn,EKG,,,,
10104-8,ST slope.lead V5,ElpotRat,Pt,Heart,Qn,EKG,,,,
10105-5,ST slope.lead V6,ElpotRat,Pt,Heart,Qn,EKG,,,,
10106-3,ST wave displacement.end.lead AVF,Elpot,Pt,Heart,Qn,EKG,,,,
10107-1,ST wave displacement.end.lead AVL,Elpot,Pt,Heart,Qn,EKG,,,,
1010-8,E little w Ab,ACnc,Pt,Ser/Plas^BPU,Ord,,,,Ew Ab SerPl BPU Ql,
10108-9,ST wave displacement.end.lead AVR,Elpot,Pt,Heart,Qn,EKG,,,,
10109-7,ST wave displacement.end.lead I,Elpot,Pt,Heart,Qn,EKG,,,,
10110-5,ST wave displacement.end.lead II,Elpot,Pt,Heart,Qn,EKG,,,,
10111-3,ST wave displacement.end.lead III,Elpot,Pt,Heart,Qn,EKG,,,,
10112-1,ST wave displacement.end.lead V1,Elpot,Pt,Heart,Qn,EKG,,,,
10113-9,ST wave displacement.end.lead V2,Elpot,Pt,Heart,Qn,EKG,,,,
10114-7,ST wave displacement.end.lead V3,Elpot,Pt,Heart,Qn,EKG,,,,
10115-4,ST wave displacement.end.lead V4,Elpot,Pt,Heart,Qn,EKG,,,,
1011-6,E little w Ab,ACnc,Pt,Ser/Plas^donor,Ord,,,,Ew Ab SerPl Donr Ql,
10116-2,ST wave displacement.end.lead V5,Elpot,Pt,Heart,Qn,EKG,,,,
10117-0,ST wave displacement.end.lead V6,Elpot,Pt,Heart,Qn,EKG,,,,
10118-8,ST wave displacement.mid.lead AVF,Elpot,Pt,Heart,Qn,EKG,,,,
10119-6,ST wave displacement.mid.lead AVL,Elpot,Pt,Heart,Qn,EKG,,,,
10120-4,ST wave displacement.mid.lead AVR,Elpot,Pt,Heart,Qn,EKG,,,,
10121-2,ST wave displacement.mid.lead I,Elpot,Pt,Heart,Qn,EKG,,,,
10122-0,ST wave displacement.mid.lead II,Elpot,Pt,Heart,Qn,EKG,,,,
10123-8,ST wave displacement.mid.lead III,Elpot,Pt,Heart,Qn,EKG,,,,
1012-4,E little w Ab,ACnc,Pt,Ser/Plas,Ord,,,,Ew Ab SerPl Ql,
10124-6,ST wave displacement.mid.lead V1,Elpot,Pt,Heart,Qn,EKG,,,,
10125-3,ST wave displacement.mid.lead V2,Elpot,Pt,Heart,Qn,EKG,,,,
10126-1,ST wave displacement.mid.lead V3,Elpot,Pt,Heart,Qn,EKG,,,,
10127-9,ST wave displacement.mid.lead V4,Elpot,Pt,Heart,Qn,EKG,,,,
10128-7,ST wave displacement.mid.lead V5,Elpot,Pt,Heart,Qn,EKG,,,,
10129-5,ST wave displacement.mid.lead V6,Elpot,Pt,Heart,Qn,EKG,,,,
10130-3,T' wave amplitude.lead AVF,Elpot,Pt,Heart,Qn,EKG,,,,
10131-1,T' wave amplitude.lead AVL,Elpot,Pt,Heart,Qn,EKG,,,,
1013-2,E little w Ag,ACnc,Pt,RBC^BPU,Ord,,,,Ew Ag RBC BPU Ql,
10132-9,T' wave amplitude.lead AVR,Elpot,Pt,Heart,Qn,EKG,,,,
10133-7,T' wave amplitude.lead I,Elpot,Pt,Heart,Qn,EKG,,,,
10134-5,T' wave amplitude.lead II,Elpot,Pt,Heart,Qn,EKG,,,,
10135-2,T' wave amplitude.lead III,Elpot,Pt,Heart,Qn,EKG,,,,
10136-0,T' wave amplitude.lead V1,Elpot,Pt,Heart,Qn,EKG,,,,
10137-8,T' wave amplitude.lead V2,Elpot,Pt,Heart,Qn,EKG,,,,
10138-6,T' wave amplitude.lead V3,Elpot,Pt,Heart,Qn,EKG,,,,
10139-4,T' wave amplitude.lead V4,Elpot,Pt,Heart,Qn,EKG,,,,
1014-0,E little w Ag,ACnc,Pt,RBC^donor,Ord,,,,Ew Ag RBC Donr Ql,
10140-2,T' wave amplitude.lead V5,Elpot,Pt,Heart,Qn,EKG,,,,
10141-0,T' wave amplitude.lead V6,Elpot,Pt,Heart,Qn,EKG,,,,
10142-8,T wave amplitude.lead AVF,Elpot,Pt,Heart,Qn,EKG,,,,
10143-6,T wave amplitude.lead AVL,Elpot,Pt,Heart,Qn,EKG,,,,
10144-4,T wave amplitude.lead AVR,Elpot,Pt,Heart,Qn,EKG,,,,
10280-6,Vendor model number,Prid,Pt,Chest tube,Nom,,,,,
10281-4,Vendor model number,Prid,Pt,Enteral tube,Nom,,,,,
10282-2,Vendor model number,Prid,Pt,Gastrostomy tube,Nom,,,,,
10283-0,Vendor model number,Prid,Pt,GI tube,Nom,,,,,
10284-8,Vendor model number,Prid,Pt,Intravascular tube,Nom,,,,,
10285-5,Vendor model number,Prid,Pt,IO tube,Nom,,,,,
10286-3,Vendor model number,Prid,Pt,Nasogastric tube,Nom,,,,,
10287-1,Vendor model number,Prid,Pt,Oral tube,Nom,,,,,
10288-9,Vendor model number,Prid,Pt,Peritoneal drain,Nom,,,,,
10289-7,Vendor model number,Prid,Pt,Peritoneal tube,Nom,,,,,
10290-5,Vendor model number,Prid,Pt,Rate control device,Nom,,,,,
10291-3,Vendor model number,Prid,Pt,Stool collection device,Nom,,,,,
10292-1,Vendor model number,Prid,Pt,Subrachnoid drain,Nom,,,,,
10293-9,Vendor model number,Prid,Pt,Synovial drain,Nom,,,,,
10294-7,Vendor model number,Prid,Pt,Tube/Drain,Nom,,,,,
10295-4,Vendor model number,Prid,Pt,Upper GI tube,Nom,,,,,
10296-2,Vendor model number,Prid,Pt,Urinary bladder irrigation tube,Nom,,,,,
10297-0,Vendor model number,Prid,Pt,Urine tube,Nom,,,,,
1029-8,F little y super little b Ab,ACnc,Pt,Ser/Plas^donor,Ord,,,,Fy sup(b) Ab SerPl Donr Ql,
10298-8,Vendor model number,Prid,Pt,Wound drain device,Nom,,,,,
10299-6,Vendor serial number,ID,Pt,Biliary drain,Nom,,,,,
10300-2,Vendor serial number,ID,Pt,Chest tube,Nom,,,,,
10301-0,Vendor serial number,ID,Pt,Enteral tube,Nom,,,,,
10312-7,Vendor serial number,ID,Pt,Subrachnoid drain,Nom,,,,,
10313-5,Vendor serial number,ID,Pt,Synovial drain,Nom,,,,,
1031-4,F little y super little b Ag,ACnc,Pt,RBC^BPU,Ord,,,,Fy sup(b) Ag RBC BPU Ql,
10314-3,Vendor serial number,ID,Pt,Tube/Drain,Nom,,,,,
10315-0,Vendor serial number,ID,Pt,Upper GI tube,Nom,,,,,
10316-8,Vendor serial number,ID,Pt,Urinary bladder irrigation tube,Nom,,,,,
10317-6,Vendor serial number,ID,Pt,Urine tube,Nom,,,,,
10318-4,Vendor serial number,ID,Pt,Wound drain device,Nom,,,,,
10319-2,Institution inventory number,ID,Pt,Enema device,Nom,,,,,
103-2,Ceforanide,Susc,Pt,Isolate,Qn,MLC,,,Ceforanide Islt MLC,
10320-0,Vendor model number,Prid,Pt,Enema device,Nom,,,,,
10321-8,Vendor serial number,ID,Pt,Enema device,Nom,,,,,
1032-2,F little y super little b Ag,ACnc,Pt,RBC^donor,Ord,,,,Fy sup(b) Ag RBC Donr Ql,
10322-6,Potassium intake,SRat,24H,^Patient,Qn,,,,,
10323-4,Wound drain fluid,Aper,Pt,Lower GI tract,Nom,,,,,
10324-2,Institution inventory number,ID,Pt,Breath rate device,Nom,,,,,
10325-9,Vendor model number,Prid,Pt,Breath rate device,Nom,,,,,
10326-7,Vendor serial number,ID,Pt,Breath rate device,Nom,,,,,
10327-5,Eosinophils/100 leukocytes,NFr,Pt,Sputum,Qn,Manual count,,,Eosinophil fr Spt Manual,
10328-3,Lymphocytes/100 leukocytes,NFr,Pt,CSF,Qn,Manual count,,,Lymphocytes fr CSF Manual,
10329-1,Monocytes/100 leukocytes,NFr,Pt,CSF,Qn,Manual count,,,Monocytes fr CSF Manual,
10350-7,Herpes simplex virus Ab.IgM,Titr,Pt,Ser,Qn,EIA,,,HSV IgM Titr Ser EIA,
10351-5,HIV 1 RNA,ACnc,Pt,Ser/Plas,Qn,Probe.amp,,,HIV1 RNA SerPl Amp Prb-aCnc,
10352-3,Bacteria identified,Prid,Pt,Gen,Nom,Aerobic culture,,,Bacteria Genital Aerobe Cult,
10353-1,Bacteria identified,Prid,Pt,Nose,Nom,Aerobic culture,,,Bacteria Nose Aerobe Cult,
10354-9,Bacteria identified,Prid,Pt,Urethra,Nom,Culture,,,Bacteria Urth Cult,
1035-5,Fresh frozen plasma given,Vol,Pt,Dose,Qn,,,,FFP given Vol Dose,
10355-6,Microscopic observation,Prid,Pt,Bone mar,Nom,Wright Giemsa stain,,,Wright Gie Stn Mar,
10356-4,Microscopic observation,Prid,Pt,Stool,Nom,Trichrome stain,,DEL,Deprecated ~ Stl Tri Stn,
10357-2,Microscopic observation,Prid,Pt,Wound,Nom,Gram stain,,,Gram Stn Wnd,
10358-0,Teichoate Ab,Titr,Pt,Ser,Qn,Immune diffusion,,,Teichoate Ab Titr Ser ID,
10359-8,Asialoganglioside GM1 Ab.IgM,Titr,Pt,Ser,Qn,,,,GM1 Asialo IgM Titr Ser,
10360-6,DNA single strand Ab.IgG,ACnc,Pt,Ser,Qn,,,,ssDNA IgG Ser-aCnc,
10361-4,DNA single strand Ab.IgM,ACnc,Pt,Ser,Qn,,,,ssDNA IgM Ser-aCnc,
10362-2,Endomysium Ab.IgA,ACnc,Pt,Ser,Ord,,,,Endomysium IgA Ser Ql,
1036-3,G Ab,ACnc,Pt,Ser/Plas^BPU,Ord,,,,G Ab SerPl BPU Ql,
10363-0,Barbiturates,ACnc,Pt,XXX,Ord,,,,Barbiturates XXX Ql,
10364-8,Cotinine,MCnt,Pt,Hair,Qn,,,,Cotinine Hair-mCnt,
10365-5,Cotinine,MCnc,Pt,Ser/Plas,Qn,,,,Cotinine SerPl-mCnc,
10366-3,Cotinine,MCnc,Pt,Urine,Qn,,,,Cotinine Ur-mCnc,
10367-1,Ethanol,MCnc,Pt,Gast fld,Qn,,,,Ethanol Gast-mCnc,
11279-7,Urine sediment comments,Find,Pt,Urine sed,Nar,Microscopy.light,,,UrnS Cmnt Micro,
11280-5,Cabot rings,ACnc,Pt,Bld,Ord,Microscopy.light,,,Cabot Rings Bld Ql Smear,
11281-3,Auer rods,ACnc,Pt,Bld,Ord,Microscopy.light,,,Auer Bodies Bld Ql Smear,
11282-1,Cells counted.total,Num,Pt,Bld,Qn,,,,Total Cells Counted Bld Qn,
11283-9,Acuity assessment,Fcn,Enctr^frst,^Patient,Nom,,REQUIRES IMMEDIATE EVALUATION OR TREATMENT; REQUIRES PROMPT EVALUATION OR TREATMENT; TIME TO EVALUATION OR TREATMENT NOT CRITICAL; UNKNOWN,,,
11284-7,Acuity assessment practitioner identification,Type,Pt,Provider,Nom,,,,,
