Ingredient|DF;Route||Trade_Name|Applicant|Strength|Appl_Type|Appl_No|Product_No|TE_Code|Approval_Date|RLD|Type|Applicant_Full_Name
ACETAMINOPHEN|SUPPOSITORY|RECTAL|ACEPHEN|G AND W LABS|325MG|A|072344|001||Mar 27, 1992|No|OTC|G AND W LABORATORIES INC
ACETAMINOPHEN|SUPPOSITORY|RECTAL|ACEPHEN|G AND W LABS|650MG|N|018060|002||Approved Prior to Jan 1, 1982|No|OTC|G AND W LABORATORIES INC
ACETAMINOPHEN|SUPPOSITORY|RECTAL|ACEPHEN|G AND W LABS|650MG|A|072237|001||Mar 27, 1992|No|OTC|G AND W LABORATORIES INC
ACETAMINOPHEN|SUPPOSITORY|RECTAL|ACETAMINOPHEN|ABLE|120MG|A|073106|001||Feb 27, 1995|No|DISCN|ABLE LABORATORIES INC
ACETAMINOPHEN|SUPPOSITORY|RECTAL|ACETAMINOPHEN|ABLE|325MG|A|073107|001||Feb 27, 1995|No|DISCN|ABLE LABORATORIES INC
ACETAMINOPHEN|SUPPOSITORY|RECTAL|ACETAMINOPHEN|ABLE|650MG|A|073108|001||Feb 27, 1995|No|DISCN|ABLE LABORATORIES INC
ACETAMINOPHEN|SUPPOSITORY|RECTAL|ACETAMINOPHEN|ACTAVIS MID ATLANTIC|120MG|N|018337|003||Sep 12, 1983|No|OTC|ACTAVIS MID ATLANTIC LLC
ACETAMINOPHEN|SUPPOSITORY|RECTAL|ACETAMINOPHEN|ACTAVIS MID ATLANTIC|325MG|N|018337|002||Approved Prior to Jan 1, 1982|No|OTC|ACTAVIS MID ATLANTIC LLC
ACETAMINOPHEN|SUPPOSITORY|RECTAL|ACETAMINOPHEN|ACTAVIS MID ATLANTIC|650MG|N|018337|001||Approved Prior to Jan 1, 1982|Yes|OTC|ACTAVIS MID ATLANTIC LLC
ACETAMINOPHEN|SUPPOSITORY|RECTAL|ACETAMINOPHEN|ROXANE|120MG|A|071010|001||May 12, 1987|No|DISCN|ROXANE LABORATORIES INC
ACETAMINOPHEN|SUPPOSITORY|RECTAL|ACETAMINOPHEN|ROXANE|650MG|A|071011|001||May 12, 1987|No|DISCN|ROXANE LABORATORIES INC
ACETAMINOPHEN|SUPPOSITORY|RECTAL|ACETAMINOPHEN|SUPPOSITORIA|120MG|A|070607|001||Apr 6, 1987|No|OTC|SUPPOSITORIA LABORATORIES INC
ACETAMINOPHEN|SUPPOSITORY|RECTAL|ACETAMINOPHEN|SUPPOSITORIA|650MG|A|070608|001||Dec 1, 1986|No|OTC|SUPPOSITORIA LABORATORIES INC
ACETAMINOPHEN|SUPPOSITORY|RECTAL|INFANTS' FEVERALL|ACTAVIS MID ATLANTIC|80MG|N|018337|004||Aug 26, 1992|No|OTC|ACTAVIS MID ATLANTIC LLC
ACETAMINOPHEN|SUPPOSITORY|RECTAL|NEOPAP|POLYMEDICA|120MG|N|016401|001||Approved Prior to Jan 1, 1982|No|OTC|POLYMEDICA INDUSTRIES INC
ACETAMINOPHEN|SUPPOSITORY|RECTAL|TYLENOL|MCNEIL CONS|120MG|N|017756|002||Approved Prior to Jan 1, 1982|No|DISCN|MCNEIL CONSUMER HEALTHCARE
ACETAMINOPHEN|SUPPOSITORY|RECTAL|TYLENOL|MCNEIL CONS|650MG|N|017756|001||Approved Prior to Jan 1, 1982|No|DISCN|MCNEIL CONSUMER HEALTHCARE
ACETAMINOPHEN|TABLET, EXTENDED RELEASE|ORAL|ACETAMINOPHEN|OHM LABS|650MG|A|076200|001||Mar 19, 2002|No|OTC|OHM LABORATORIES INC
ACETAMINOPHEN|TABLET, EXTENDED RELEASE|ORAL|ACETAMINOPHEN|PERRIGO|650MG|A|075077|001||Feb 25, 2000|No|OTC|L PERRIGO CO
ACETAMINOPHEN|TABLET, EXTENDED RELEASE|ORAL|ACETAMINOPHEN|RANBAXY|650MG|A|090205|001||Nov 18, 2009|No|OTC|RANBAXY INC
ACETAMINOPHEN|TABLET, EXTENDED RELEASE|ORAL|TYLENOL (CAPLET)|MCNEIL CONS|650MG|N|019872|001||Jun 8, 1994|Yes|OTC|MCNEIL CONSUMER HEALTHCARE
ACETAMINOPHEN|TABLET, EXTENDED RELEASE|ORAL|TYLENOL (GELTAB)|MCNEIL CONS|650MG|N|019872|002||Jan 11, 2001|Yes|OTC|MCNEIL CONSUMER HEALTHCARE
ACETAMINOPHEN,ASPIRIN,CAFFEINE|TABLET|ORAL|ACETAMINOPHEN, ASPIRIN AND CAFFEINE|PERRIGO|250MG,250MG,65MG|A|075794|001||Nov 26, 2001|No|OTC|L PERRIGO CO
ACETAMINOPHEN,ASPIRIN,CAFFEINE|TABLET|ORAL|EXCEDRIN (MIGRAINE)|NOVARTIS|250MG,250MG,65MG|N|020802|001||Jan 14, 1998|Yes|OTC|NOVARTIS CONSUMER HEALTH INC
ACETAMINOPHEN,ASPIRIN,CODEINE PHOSPHATE|CAPSULE|ORAL|ACETAMINOPHEN, ASPIRIN, AND CODEINE PHOSPHATE|MIKART|150MG,180MG,15MG|A|081095|001||Oct 26, 1990|No|DISCN|MIKART INC
ACETAMINOPHEN,ASPIRIN,CODEINE PHOSPHATE|CAPSULE|ORAL|ACETAMINOPHEN, ASPIRIN, AND CODEINE PHOSPHATE|MIKART|150MG,180MG,30MG|A|081096|001||Oct 26, 1990|Yes|RX|MIKART INC
ACETAMINOPHEN,ASPIRIN,CODEINE PHOSPHATE|CAPSULE|ORAL|ACETAMINOPHEN, ASPIRIN, AND CODEINE PHOSPHATE|MIKART|150MG,180MG,60MG|A|081097|001||Oct 26, 1990|No|DISCN|MIKART INC
ACETAMINOPHEN,ASPIRIN,CODEINE PHOSPHATE|CAPSULE|ORAL|CODEINE, ASPIRIN, APAP FORMULA NO. 2|SCHERER LABS|150MG,180MG,15MG|A|085640|001||Approved Prior to Jan 1, 1982|No|DISCN|SCHERER LABORATORIES INC
ACETAMINOPHEN,ASPIRIN,CODEINE PHOSPHATE|CAPSULE|ORAL|CODEINE, ASPIRIN, APAP FORMULA NO. 3|SCHERER LABS|150MG,180MG,30MG|A|085639|001||Approved Prior to Jan 1, 1982|No|DISCN|SCHERER LABORATORIES INC
ACETAMINOPHEN,ASPIRIN,CODEINE PHOSPHATE|CAPSULE|ORAL|CODEINE, ASPIRIN, APAP FORMULA NO. 4|SCHERER LABS|150MG,180MG,60MG|A|085638|001||Approved Prior to Jan 1, 1982|No|DISCN|SCHERER LABORATORIES INC
ACETAMINOPHEN,BUTALBITAL|CAPSULE|ORAL|BANCAP|FOREST PHARMS|325MG,50MG|A|088889|001||Jan 16, 1986|No|DISCN|FOREST PHARMACEUTICALS INC
ACETAMINOPHEN,BUTALBITAL|CAPSULE|ORAL|BUCET|MALLINCKRODT|650MG,50MG|A|088991|001||Jun 28, 1985|No|DISCN|MALLINCKRODT CHEMICAL INC
ACETAMINOPHEN,BUTALBITAL|CAPSULE|ORAL|PHRENILIN FORTE|VALEANT|650MG,50MG|A|088831|001||Jun 19, 1985|Yes|RX|VALEANT PHARMACEUTICALS INTERNATIONAL
ACETAMINOPHEN,BUTALBITAL|CAPSULE|ORAL|TENCON|MALLINCKRODT|650MG,50MG|A|089405|001||May 15, 1990|No|DISCN|MALLINCKRODT CHEMICAL INC
ACETAMINOPHEN,BUTALBITAL|CAPSULE|ORAL|TRIAPRIN|DUNHALL|325MG,50MG|A|089268|001||Jul 2, 1987|No|DISCN|DUNHALL PHARMACEUTICALS INC
ACETAMINOPHEN,BUTALBITAL|TABLET|ORAL|BUTALBITAL AND ACETAMINOPHEN|HALSEY|325MG,50MG|A|089568|001||Oct 5, 1988|No|DISCN|HALSEY DRUG CO INC
ACETAMINOPHEN,BUTALBITAL|TABLET|ORAL|BUTALBITAL AND ACETAMINOPHEN|WATSON LABS|325MG,50MG|A|087550|001||Oct 19, 1984|No|DISCN|WATSON LABORATORIES INC
ACETAMINOPHEN,BUTALBITAL|TABLET|ORAL|BUTAPAP|MIKART|325MG,50MG|A|089987|001|AB|Oct 26, 1992|No|RX|MIKART INC
ACETAMINOPHEN,BUTALBITAL|TABLET|ORAL|BUTAPAP|MIKART|650MG,50MG|A|089988|001||Oct 26, 1992|Yes|RX|MIKART INC
ACETAMINOPHEN,BUTALBITAL|TABLET|ORAL|PHRENILIN|VALEANT|325MG,50MG|A|087811|001|AB|Jun 19, 1985|Yes|RX|VALEANT PHARMACEUTICALS INTERNATIONAL
ACETAMINOPHEN,BUTALBITAL|TABLET|ORAL|SEDAPAP|MAYRAND|650MG,50MG|A|088944|001||Oct 17, 1985|No|DISCN|MAYRAND INC
ACETAMINOPHEN,BUTALBITAL,CAFFEINE|CAPSULE|ORAL|ANOQUAN|SHIRE|325MG,50MG,40MG|A|087628|001||Oct 1, 1986|No|DISCN|SHIRE DEVELOPMENT INC
ACETAMINOPHEN,BUTALBITAL,CAFFEINE|CAPSULE|ORAL|BUTALBITAL, ACETAMINOPHEN AND CAFFEINE|GRAHAM DM|325MG,50MG,40MG|A|088743|001||Jul 18, 1985|No|DISCN|DM GRAHAM LABORATORIES INC
ACETAMINOPHEN,BUTALBITAL,CAFFEINE|CAPSULE|ORAL|BUTALBITAL, ACETAMINOPHEN AND CAFFEINE|GRAHAM DM|325MG,50MG,40MG|A|088765|001||Mar 27, 1985|No|DISCN|DM GRAHAM LABORATORIES INC
ACETAMINOPHEN,BUTALBITAL,CAFFEINE|CAPSULE|ORAL|BUTALBITAL, ACETAMINOPHEN AND CAFFEINE|GRAHAM DM|325MG,50MG,40MG|A|089067|001||Apr 19, 1985|No|DISCN|DM GRAHAM LABORATORIES INC
ACETAMINOPHEN,BUTALBITAL,CAFFEINE|CAPSULE|ORAL|BUTALBITAL, ACETAMINOPHEN AND CAFFEINE|MALLINCKRODT|325MG,50MG,40MG|A|088758|001||Mar 27, 1985|No|DISCN|MALLINCKRODT CHEMICAL INC
ACETAMINOPHEN,BUTALBITAL,CAFFEINE|CAPSULE|ORAL|BUTALBITAL, ACETAMINOPHEN AND CAFFEINE|MIKART|325MG,50MG,40MG|A|089007|001||Mar 17, 1986|Yes|RX|MIKART INC
ACETAMINOPHEN,BUTALBITAL,CAFFEINE|CAPSULE|ORAL|BUTALBITAL, ACETAMINOPHEN AND CAFFEINE|NEXGEN PHARMA|300MG,50MG,40MG|A|040885|001||Nov 16, 2009|No|RX|NEXGEN PHARMA INC
ACETAMINOPHEN,BUTALBITAL,CAFFEINE|CAPSULE|ORAL|BUTALBITAL, ACETAMINOPHEN AND CAFFEINE|WEST WARD|500MG,50MG,40MG|A|040261|001|AB|Oct 28, 1998|No|RX|WEST WARD PHARMACEUTICAL CORP
ACETAMINOPHEN,BUTALBITAL,CAFFEINE|CAPSULE|ORAL|BUTALIBITAL, ACETAMINOPHEN AND CAFFEINE|GILBERT LABS|325MG,50MG,40MG|A|088825|001||Dec 5, 1984|No|DISCN|GILBERT LABORATORIES
ACETAMINOPHEN,BUTALBITAL,CAFFEINE|CAPSULE|ORAL|ESGIC-PLUS|MIKART|500MG,50MG,40MG|A|040085|001|AB|Mar 28, 1996|Yes|RX|MIKART INC
ACETAMINOPHEN,BUTALBITAL,CAFFEINE|CAPSULE|ORAL|FEMCET|MALLINCKRODT|325MG,50MG,40MG|A|089102|001||Jun 19, 1985|No|DISCN|MALLINCKRODT CHEMICAL INC
ACETAMINOPHEN,BUTALBITAL,CAFFEINE|CAPSULE|ORAL|MEDIGESIC PLUS|US CHEM|325MG,50MG,40MG|A|089115|001||Jan 14, 1986|No|DISCN|US CHEMICAL MARKETING GROUP INC
ACETAMINOPHEN,BUTALBITAL,CAFFEINE|CAPSULE|ORAL|TRIAD|MALLINCKRODT|325MG,50MG,40MG|A|089023|001||Jun 19, 1985|No|DISCN|MALLINCKRODT CHEMICAL INC
ACETAMINOPHEN,BUTALBITAL,CAFFEINE|SOLUTION|ORAL|BUTALBITAL, ACETAMINOPHEN AND CAFFEINE|MIKART|325MG/15ML,50MG/15ML,40MG/15ML|A|040387|001||Jan 31, 2003|Yes|RX|MIKART INC
ACETAMINOPHEN,BUTALBITAL,CAFFEINE|TABLET|ORAL|BUTALBITAL, ACETAMINOPHEN AND CAFFEINE|ABLE|325MG,50MG,40MG|A|040390|001||Jul 23, 2001|No|DISCN|ABLE LABORATORIES INC
ACETAMINOPHEN,BUTALBITAL,CAFFEINE|TABLET|ORAL|BUTALBITAL, ACETAMINOPHEN AND CAFFEINE|ABLE|500MG,50MG,40MG|A|040394|001||Jul 23, 2001|No|DISCN|ABLE LABORATORIES INC
ACETAMINOPHEN,BUTALBITAL,CAFFEINE|TABLET|ORAL|BUTALBITAL, ACETAMINOPHEN AND CAFFEINE|CONCORD LABS NJ|325MG,50MG,40MG|A|040864|001|AB|Dec 1, 2008|No|RX|CONCORD LABORATORIES INC
ACETAMINOPHEN,BUTALBITAL,CAFFEINE|TABLET|ORAL|BUTALBITAL, ACETAMINOPHEN AND CAFFEINE|CONCORD LABS NJ|500MG,50MG,40MG|A|040883|001|AB|Dec 23, 2008|No|RX|CONCORD LABORATORIES INC
ACETAMINOPHEN,BUTALBITAL,CAFFEINE|TABLET|ORAL|BUTALBITAL, ACETAMINOPHEN AND CAFFEINE|GILBERT LABS|325MG,50MG,40MG|A|087629|001||Nov 13, 1984|No|DISCN|GILBERT LABORATORIES
ACETAMINOPHEN,BUTALBITAL,CAFFEINE|TABLET|ORAL|BUTALBITAL, ACETAMINOPHEN AND CAFFEINE|MALLINCKRODT|325MG,50MG,40MG|A|087804|001|AB|Jan 24, 1985|No|RX|MALLINCKRODT CHEMICAL INC
ACETAMINOPHEN,BUTALBITAL,CAFFEINE|TABLET|ORAL|BUTALBITAL, ACETAMINOPHEN AND CAFFEINE|MIKART|325MG,50MG,40MG|A|089175|001|AB|Jan 21, 1987|No|RX|MIKART INC
ACETAMINOPHEN,BUTALBITAL,CAFFEINE|TABLET|ORAL|BUTALBITAL, ACETAMINOPHEN AND CAFFEINE|MIKART|750MG,50MG,40MG|A|040496|001||Dec 23, 2003|Yes|RX|MIKART INC
ACETAMINOPHEN,BUTALBITAL,CAFFEINE|TABLET|ORAL|BUTALBITAL, ACETAMINOPHEN AND CAFFEINE|MUTUAL PHARM|325MG,50MG,40MG|A|040601|001||Jul 29, 2005|No|DISCN|MUTUAL PHARMACEUTICAL CO INC
ACETAMINOPHEN,BUTALBITAL,CAFFEINE|TABLET|ORAL|BUTALBITAL, ACETAMINOPHEN AND CAFFEINE|VINTAGE PHARMS|325MG,50MG,40MG|A|040511|001|AB|Aug 27, 2003|No|RX|VINTAGE PHARMACEUTICALS INC
ACETAMINOPHEN,BUTALBITAL,CAFFEINE|TABLET|ORAL|BUTALBITAL, ACETAMINOPHEN AND CAFFEINE|VINTAGE PHARMS|500MG,50MG,40MG|A|040513|001|AB|Aug 25, 2003|No|RX|VINTAGE PHARMACEUTICALS INC
ACETAMINOPHEN,BUTALBITAL,CAFFEINE|TABLET|ORAL|BUTALBITAL, ACETAMINOPHEN AND CAFFEINE|WATSON LABS|325MG,50MG,40MG|A|089536|001||Feb 16, 1988|No|DISCN|WATSON LABORATORIES INC
ACETAMINOPHEN,BUTALBITAL,CAFFEINE|TABLET|ORAL|BUTALBITAL, ACETAMINOPHEN AND CAFFEINE|WATSON LABS|500MG,50MG,40MG|A|040267|001|AB|Jul 30, 1998|No|RX|WATSON LABORATORIES INC
ACETAMINOPHEN,BUTALBITAL,CAFFEINE|TABLET|ORAL|BUTALBITAL, ACETAMINOPHEN AND CAFFEINE|WEST WARD|325MG,50MG,40MG|A|089718|001|AB|Jun 12, 1995|No|RX|WEST WARD PHARMACEUTICAL CORP
ACETAMINOPHEN,BUTALBITAL,CAFFEINE|TABLET|ORAL|BUTALBITAL, ACETAMINOPHEN AND CAFFEINE|WEST WARD|500MG,50MG,40MG|A|040336|001|AB|Aug 18, 1999|No|RX|WEST WARD PHARMACEUTICAL CORP
ACETAMINOPHEN,BUTALBITAL,CAFFEINE|TABLET|ORAL|ESGIC|FOREST PHARMS|325MG,50MG,40MG|A|089660|001||Dec 23, 1988|No|DISCN|FOREST PHARMACEUTICALS INC
ACETAMINOPHEN,BUTALBITAL,CAFFEINE|TABLET|ORAL|ESGIC-PLUS|MIKART|500MG,50MG,40MG|A|089451|001|AB|May 23, 1988|Yes|RX|MIKART INC
ACETAMINOPHEN,BUTALBITAL,CAFFEINE|TABLET|ORAL|FIORICET|WATSON PHARMS|325MG,50MG,40MG|A|088616|001|AB|Nov 9, 1984|Yes|RX|WATSON PHARMACEUTICALS INC
ACETAMINOPHEN,BUTALBITAL,CAFFEINE,CODEINE PHOSPHATE|CAPSULE|ORAL|BUTALBITAL, ACETAMINOPHEN, CAFFEINE AND CODEINE PHOSPHATE|ABLE|325MG,50MG,40MG,30MG|A|076528|001||Aug 21, 2003|No|DISCN|ABLE LABORATORIES INC
ACETAMINOPHEN,BUTALBITAL,CAFFEINE,CODEINE PHOSPHATE|CAPSULE|ORAL|BUTALBITAL, ACETAMINOPHEN, CAFFEINE AND CODEINE PHOSPHATE|NEXGEN PHARMA INC|325MG,50MG,40MG,30MG|A|076560|001|AB|Jun 10, 2004|No|RX|NEXGEN PHARMA INC
ACETAMINOPHEN,BUTALBITAL,CAFFEINE,CODEINE PHOSPHATE|CAPSULE|ORAL|BUTALBITAL, ACETAMINOPHEN, CAFFEINE AND CODEINE PHOSPHATE|VINTAGE PHARMS|325MG,50MG,40MG,30MG|A|075929|001|AB|Apr 22, 2002|No|RX|VINTAGE PHARMACEUTICALS INC
ACETAMINOPHEN,BUTALBITAL,CAFFEINE,CODEINE PHOSPHATE|CAPSULE|ORAL|BUTALBITAL, ACETAMINOPHEN, CAFFEINE AND CODEINE PHOSPHATE|WEST WARD|325MG,50MG,40MG,30MG|A|075618|001|AB|Mar 23, 2001|No|RX|WEST WARD PHARMACEUTICAL CORP
ACETAMINOPHEN,BUTALBITAL,CAFFEINE,CODEINE PHOSPHATE|CAPSULE|ORAL|FIORICET W/ CODEINE|WATSON PHARMS|325MG,50MG,40MG,30MG|N|020232|001|AB|Jul 30, 1992|Yes|RX|WATSON PHARMACEUTICALS INC
ACETAMINOPHEN,BUTALBITAL,CAFFEINE,CODEINE PHOSPHATE|CAPSULE|ORAL|PHRENILIN WITH CAFFEINE AND CODEINE|VALEANT|325MG,50MG,40MG,30MG|A|074911|001|AB|Aug 22, 2001|No|RX|VALEANT PHARMACEUTICALS INTERNATIONAL
ACETAMINOPHEN,CAFFEINE,DIHYDROCODEINE BITARTRATE|CAPSULE|ORAL|ACETAMINOPHEN, CAFFEINE, AND DIHYDROCODEINE BITARTRATE|E5 PHARMA INC|356.4MG,30MG,16MG|A|040688|001|AA|Apr 3, 2007|No|RX|E5 PHARMA INC
ACETAMINOPHEN,CAFFEINE,DIHYDROCODEINE BITARTRATE|CAPSULE|ORAL|ACETAMINOPHEN, CAFFEINE, AND DIHYDROCODEINE BITARTRATE|MIKART|356.4MG,30MG,16MG|A|040109|001|AA|Aug 26, 1997|Yes|RX|MIKART INC
ACETAMINOPHEN,CAFFEINE,DIHYDROCODEINE BITARTRATE|CAPSULE|ORAL|DHC PLUS|PHARM RES ASSOC|356.4MG,30MG,16MG|A|088584|001||Mar 4, 1986|No|DISCN|PHARMACEUTICAL RESEARCH ASSOC INC
ACETAMINOPHEN,CAFFEINE,DIHYDROCODEINE BITARTRATE|CAPSULE|ORAL|SYNALGOS-DC-A|LEITNER PHARMS|356.4MG,30MG,16MG|A|089166|001||May 14, 1986|No|DISCN|LEITNER PHARMACEUTICALS LLC
ACETAMINOPHEN,CAFFEINE,DIHYDROCODEINE BITARTRATE|TABLET|ORAL|ACETAMINOPHEN, CAFFEINE, AND DIHYDROCODEINE BITARTRATE|BOCA PHARMA|712.8MG,60MG,32MG|A|040701|001|AA|Apr 3, 2007|No|RX|BOCA PHARMACAL INC
ACETAMINOPHEN,CAFFEINE,DIHYDROCODEINE BITARTRATE|TABLET|ORAL|ACETAMINOPHEN, CAFFEINE, AND DIHYDROCODEINE BITARTRATE|MIKART|712.8MG,60MG,32MG|A|040316|001|AA|Apr 28, 1999|Yes|RX|MIKART INC
ACETAMINOPHEN,CAFFEINE,DIHYDROCODEINE BITARTRATE|TABLET|ORAL|ACETAMINOPHEN, CAFFEINE, AND DIHYDROCODEINE BITARTRATE|WEST WARD|712.8MG,60MG,32MG|A|040637|001|AA|Sep 22, 2006|No|RX|WEST WARD PHARMACEUTICAL CORP
ACETAMINOPHEN,CLEMASTINE FUMARATE,PSEUDOEPHEDRINE HYDROCHLORIDE|TABLET|ORAL|TAVIST ALLERGY/SINUS/HEADACHE|NOVARTIS|500MG,EQ 0.25MG BASE,30MG|N|021082|001||Mar 1, 2001|Yes|OTC|NOVARTIS CONSUMER HEALTH INC
ACETAMINOPHEN,CODEINE PHOSPHATE|CAPSULE|ORAL|ACETAMINOPHEN AND CODEINE PHOSPHATE|TEVA|300MG,15MG|A|088537|001||Jun 4, 1984|No|DISCN|TEVA PHARMACEUTICALS USA INC
ACETAMINOPHEN,CODEINE PHOSPHATE|CAPSULE|ORAL|ACETAMINOPHEN AND CODEINE PHOSPHATE|TEVA|300MG,30MG|A|088324|001||Dec 29, 1983|No|DISCN|TEVA PHARMACEUTICALS USA INC
ACETAMINOPHEN,CODEINE PHOSPHATE|CAPSULE|ORAL|ACETAMINOPHEN AND CODEINE PHOSPHATE|TEVA|300MG,60MG|A|088599|001||Jun 1, 1984|No|DISCN|TEVA PHARMACEUTICALS USA INC
ACETAMINOPHEN,CODEINE PHOSPHATE|CAPSULE|ORAL|PHENAPHEN W/ CODEINE NO. 2|ROBINS AH|325MG,15MG|A|084444|001||Approved Prior to Jan 1, 1982|No|DISCN|AH ROBINS CO
